benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/minepump_spec5_product30.cil_smt-query.0.smt2,Yices (2019),0.0
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv8_bv_cambridge.1.prop1_cc_ref_max.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv8_bv_lup.1.prop1_cc_ref_max.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/minepump_spec3_product06.cil_smt-query.0.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_plc.1.prop2_cc_ref_max.smt2,Yices (2019),0.0
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv8_bv_pgm_protocol.2.prop1_cc_ref_max.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv_bv_blocks.2.prop1_cc_ref_max.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/minepump_spec1_product23.cil_smt-query.0.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/linux-3.14_complex_emg_linux-kernel-locking-spinlock_fs-nfs-blocklayout-blocklayoutdriver.cil_smt-query.0.smt2,Yices (2019),0.0
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_floodmax.4.4.ufo.UNBOUNDED.pals.c.v+lhb-reducer_smt-query.0.smt2,Yices (2019),0.0
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv_bv_sw_sym_ex_cc_ref_max.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/minepump_spec1_product04.cil_smt-query.0.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv8_bv_at.5.prop1_cc_ref_max.smt2,Yices (2019),0.0
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv_bv_eq_sdp_v3_cc_ref_max.smt2,Yices (2019),0.0
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_Huffman_dec_cc_ref_max.smt2,Yices (2019),0.0
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_floodmax.4.3.ufo.UNBOUNDED.pals.c.v+nlh-reducer_smt-query.0.smt2,Yices (2019),0.0
/data/SMT-LIB-incremental/QF_BV/20190307-CPAchecker_kInduction-SoSy_Lab/pals_floodmax.3.2.ufo.UNBOUNDED.pals.c.v+lhb-reducer_smt-query.0.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv8_bv_Heap_cc_ref_max.smt2,Yices,0.0
/data/SMT-LIB-incremental/QF_BV/2018-Goel-hwbench/QF_BV_bv8_bv_brp.5.prop1_cc_ref_max.smt2,Yices (2019),0.0
