benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/loop2-1_smt-query.0.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/nan_double_range_smt-query.0.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/loop1-2_smt-query.0.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float-div1_smt-query.0.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float-no-simp2_smt-query.0.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/square_2_smt-query.0.smt2,CVC4,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/zonotope_tight_smt-query.0.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float-no-simp4_smt-query.0.smt2,Z3,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/zonotope_loose_smt-query.0.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/newton_1_6_smt-query.0.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/sine_2_smt-query.0.smt2,CVC4,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/fmod2_smt-query.0.smt2,Z3,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/sin_interpolated_index-1_smt-query.0.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BVFP/schanda/spark/int_to_float_simple.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/newton_2_6_smt-query.0.smt2,CVC4,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float8_smt-query.0.smt2,Z3,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float12_smt-query.0.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/newton_2_8_smt-query.0.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float3_smt-query.0.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float21_smt-query.0.smt2,Bitwuzla,0.0
