benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/newton_1_6_smt-query.0.smt2,CVC4,3599.574972
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/newton_2_6_smt-query.0.smt2,Z3,3594.61978
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/sqrt_poly_smt-query.0.smt2,Z3,3594.2598399999997
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/square_3_smt-query.0.smt2,Z3,335.57599000000005
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/newton_1_4_smt-query.0.smt2,CVC4,332.56361000000004
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/newton_1_7_smt-query.0.smt2,Z3,315.151157
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/square_8_smt-query.0.smt2,Z3,202.99420999999998
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/sine_2_smt-query.0.smt2,Z3,168.50038
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/newton_3_8_smt-query.0.smt2,Bitwuzla,128.22
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/sin_interpolated_index-1_smt-query.0.smt2,Z3,38.279674
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/newton_2_7_smt-query.0.smt2,MathSAT5,29.718110000000003
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float4_smt-query.0.smt2,Z3,24.220528
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/newton_1_5_smt-query.0.smt2,Bitwuzla,16.890700000000002
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float-div1_smt-query.0.smt2,Z3,12.326588
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/arctan_Pade_smt-query.0.smt2,MathSAT5,10.241
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float-flags-simp1_smt-query.0.smt2,MathSAT5,7.2367
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float21_smt-query.0.smt2,Z3,6.84162
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/newton_2_8_smt-query.0.smt2,CVC4,6.77552
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/fmod2_smt-query.0.smt2,MathSAT5,6.1362111
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/fmod3_smt-query.0.smt2,CVC4,3.335452
/data/SMT-LIB-incremental/QF_BVFP/schanda/spark/int_to_float_simple.smt2,Z3,1.6213009
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/zonotope_tight_smt-query.0.smt2,CVC4,1.497684
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/zonotope_loose_smt-query.0.smt2,MathSAT5,1.053306
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float8_smt-query.0.smt2,MathSAT5,0.9746718999999999
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/trunc_nondet_2_smt-query.0.smt2,CVC4,0.6380700000000001
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/inv_square_int_smt-query.0.smt2,Z3,0.47564899999999993
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/loop1-2_smt-query.0.smt2,CVC4,0.240396
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float3_smt-query.0.smt2,MathSAT5,0.180975
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float_int_inv_square_smt-query.0.smt2,Z3,0.1554389
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/inv_square-2_smt-query.0.smt2,CVC4,0.069199
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/inv_square-1_smt-query.0.smt2,MathSAT5,0.061587199999999995
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float5_smt-query.0.smt2,CVC4,0.054687999999999994
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float-no-simp4_smt-query.0.smt2,MathSAT5,0.019197900000000004
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/nan_double_smt-query.0.smt2,Z3,0.018312899999999997
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float6_smt-query.0.smt2,MathSAT5,0.008779100000000001
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/loop2-1_smt-query.0.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/nan_double_range_smt-query.0.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/float-no-simp2_smt-query.0.smt2,Bitwuzla,0.0
/data/SMT-LIB-incremental/QF_BVFP/20190307-CPAchecker_kInduction-SoSy_Lab/square_2_smt-query.0.smt2,CVC4,0.0
