benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.5.prop1_ab_core_max.smt2,MathSAT5,1.55995
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_needham.4.prop3_ab_core_max.smt2,MathSAT5,0.984549
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_collision.6.prop1_ab_core_max.smt2,MathSAT5,0.549057
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_collision.3.prop1_ab_core_max.smt2,MathSAT5,0.513793
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.1.prop1_ab_core_max.smt2,MathSAT5,0.48970800000000003
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_rushhour.3.prop1_ab_min_max.smt2,MathSAT5,0.44432299999999997
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_sokoban.1.prop1_ab_core_max.smt2,MathSAT5,0.328182
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_loyd.1.prop1_ab_core_max.smt2,Yices (2019),0.288071
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_train-gate.4.prop1_ab_min_max.smt2,Yices (2019),0.177776
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_needham.1.prop4_ab_min_max.smt2,Yices (2019),0.108297
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_schedule_world.2.prop1_ab_min_max.smt2,Yices (2019),0.09898309999999999
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_fischer.4.prop1_ab_core_max.smt2,Yices (2019),0.060642
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_hanoi.2.prop1_ab_core_max.smt2,Yices,0.051368000000000025
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.2.prop1_ab_core_max.smt2,Yices,0.048638000000000015
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.1.prop5_ab_core_max.smt2,Yices,0.04538200000000003
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_brp2.2.prop1_ab_core_max.smt2,Yices,0.04245399999999999
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_krebs.3.prop1_ab_core_max.smt2,Yices,0.038464
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.1.prop1_ab_core_max.smt2,Yices,0.03821600000000003
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_telephony.4.prop1_ab_core_max.smt2,Yices,0.035897999999999985
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.5.prop1_ab_min_max.smt2,Yices,0.03584999999999994
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.3.prop1_ab_min_max.smt2,Yices (2019),0.03192800000000001
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lifts.8.prop1_ab_core_max.smt2,Yices,0.027488000000000012
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.3.prop3_ab_min_max.smt2,Yices,0.025393
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_needham.2.prop4_ab_core_max.smt2,Yices,0.018701999999999996
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_brp2.3.prop1_ab_core_max.smt2,Yices,0.017250000000000015
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.2.prop3_ab_min_max.smt2,Yices (2019),0.016876999999999975
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lifts.6.prop1_ab_core_max.smt2,Yices,0.01683800000000002
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_firewire_tree.2.prop1_ab_core_max.smt2,Yices,0.01660299999999998
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.5.prop1_ab_core_max.smt2,Yices,0.016126
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.7.prop1_ab_core_max.smt2,Yices,0.015656000000000003
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_gear.2.prop2_ab_core_max.smt2,Yices,0.013885999999999982
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lann.3.prop1_ab_min_max.smt2,Yices,0.012775000000000009
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.8.prop1_ab_core_max.smt2,Yices,0.012708999999999998
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_krebs.3.prop1_ab_min_max.smt2,Yices,0.012216000000000005
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_anderson.8.prop1_ab_core_max.smt2,Yices,0.011993000000000004
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_needham.3.prop1_ab_core_max.smt2,Yices,0.011009999999999992
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_brp.4.prop1_ab_core_max.smt2,Yices,0.010452000000000017
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_peterson.4.prop1_ab_core_max.smt2,Yices,0.010147000000000017
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_needham.1.prop4_ab_core_max.smt2,Yices,0.010002999999999984
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_brp2.5.prop2_ab_min_max.smt2,Yices (2019),0.009701000000000015
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lamport.1.prop1_ab_core_max.smt2,Yices,0.009175000000000016
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lifts.5.prop1_ab_core_max.smt2,Yices,0.008801000000000003
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.6.prop1_ab_core_max.smt2,Yices,0.008784000000000014
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_brp.5.prop1_ab_min_max.smt2,Yices (2019),0.008710999999999997
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_miim_ab_core_max.smt2,Yices,0.008658200000000001
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lifts.5.prop1_ab_min_max.smt2,Yices,0.008653999999999995
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_leader_election.6.prop1_ab_core_max.smt2,Yices,0.008511999999999992
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.4.prop2_ab_core_max.smt2,Yices,0.008335999999999982
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.8.prop5_ab_min_max.smt2,Yices,0.008313999999999988
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lann.3.prop1_ab_core_max.smt2,Yices,0.00812199999999999
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_reader_writer.2.prop1_ab_core_max.smt2,Yices,0.00792799999999999
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_adding.4.prop1_ab_min_max.smt2,Yices (2019),0.007643000000000011
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_telephony.2.prop1_ab_min_max.smt2,Yices,0.007416999999999979
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_bridge.2.prop1_ab_core_max.smt2,Yices,0.007407999999999998
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_synapse.4.prop1_ab_min_max.smt2,Yices,0.007358000000000003
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_peterson.3.prop1_ab_core_max.smt2,Yices,0.007273000000000002
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_anderson.3.prop1_ab_min_max.smt2,Yices,0.007187000000000027
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_leader_filters.3.prop1_ab_core_max.smt2,Yices,0.007109000000000004
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_pgm_protocol.1.prop6_ab_min_max.smt2,Yices,0.006872000000000017
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lann.2.prop1_ab_min_max.smt2,Yices,0.006548999999999999
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_hanoi.2.prop1_ab_min_max.smt2,Yices,0.0064609999999999945
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_szymanski.3.prop1_ab_min_max.smt2,Yices,0.006454000000000015
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_train-gate.6.prop1_ab_core_max.smt2,Yices,0.006273000000000001
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_at.4.prop1_ab_min_max.smt2,Yices,0.006262999999999991
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_brp2.4.prop1_ab_min_max.smt2,Yices,0.006186000000000011
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_mcs.3.prop1_ab_core_max.smt2,Yices,0.006164999999999976
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_leader_election.2.prop1_ab_core_max.smt2,Yices,0.006164000000000003
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_needham.4.prop1_ab_core_max.smt2,Yices,0.006161
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_at.6.prop1_ab_core_max.smt2,Yices,0.006092999999999987
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_mcs.3.prop1_ab_min_max.smt2,Yices,0.006065000000000015
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_needham.4.prop2_ab_min_max.smt2,Yices,0.006061000000000011
/data/SMT-LIB-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lamport_nonatomic.2.prop1_ab_core_max.smt2,Yices,0.005918000000000007
