benchmark,prediction,loss
/data/SMT-LIB-incremental/QF_UFLIA/kind/metros_3_e3_1275_e4_164.ec.smt2,SMTInterpol,2672.104095180723
/data/SMT-LIB-incremental/QF_UFLIA/kind/metros_4_e3_1025.ec.smt2,MathSAT5,2608.4557195238094
/data/SMT-LIB-incremental/QF_UFLIA/kind/metros_4_e1_917.ec.smt2,MathSAT5,2608.3736795238096
/data/SMT-LIB-incremental/QF_UFLIA/kind/car_all_e2_142_e7_209.ec.smt2,CVC4,2491.225387878788
/data/SMT-LIB-incremental/QF_UFLIA/kind/durationThm_1_e2_3.ec.smt2,CVC4,2411.1345454545453
/data/SMT-LIB-incremental/QF_UFLIA/kind/durationThm_2_e3_329_e4_1.ec.smt2,CVC4,2314.7214545454544
/data/SMT-LIB-incremental/QF_UFLIA/kind/microwave19.ec.smt2,Yices,2076.5676666666664
/data/SMT-LIB-incremental/QF_UFLIA/kind/metros_4_e2_968_e6_236.ec.smt2,MathSAT5,1999.7578980000003
/data/SMT-LIB-incremental/QF_UFLIA/kind/metros_4_e3_1091_e1_1044.ec.smt2,MathSAT5,1854.3505335454547
/data/SMT-LIB-incremental/QF_UFLIA/kind/SYNAPSE_5.ec.smt2,MathSAT5,1738.150395348837
/data/SMT-LIB-incremental/QF_UFLIA/kind/metros_3_e3_1117.ec.smt2,CVC4,1312.1374606024096
/data/SMT-LIB-incremental/QF_UFLIA/kind/FIREFLY_luke_3.ec.smt2,Yices,1082.5431914893616
/data/SMT-LIB-incremental/QF_UFLIA/kind/FIREFLY_luke_1a_e2_284_e3_3091.ec.smt2,Yices,971.1474581939797
/data/SMT-LIB-incremental/QF_UFLIA/kind/metros_2_e1_190.ec.smt2,CVC4,943.0432432432433
/data/SMT-LIB-incremental/QF_UFLIA/kind/FIREFLY_11_e3_2076_e1_1270.ec.smt2,Yices,922.4955700325727
/data/SMT-LIB-incremental/QF_UFLIA/kind/car_4_e8_118_e7_178.ec.smt2,MathSAT5,922.1166999999999
/data/SMT-LIB-incremental/QF_UFLIA/kind/FIREFLY_6_e2_3302.ec.smt2,CVC4,892.2265968586389
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_4_e2_2799.ec.smt2,Yices,864.0099999999998
/data/SMT-LIB-incremental/QF_UFLIA/kind/ticket3i_all_e7_591.ec.smt2,MathSAT5,850.7836507936508
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_4_e3_1540_e1_5048.ec.smt2,CVC4,817.8270949720672
/data/SMT-LIB-incremental/QF_UFLIA/kind/DRAGON_4_e2_2799_e3_1915.ec.smt2,CVC4,813.5993220338978
