benchmark,prediction,loss
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0015/00245.smt2,Z3,2679.160912
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0012/00049.smt2,Z3,2639.28568
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00639.smt2,Z3,2444.51913
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0002/00300.smt2,Z3,2260.944890909091
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0002/00278.smt2,Z3,2244.84105
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0008/00111.smt2,Z3,2234.8581484615383
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0002/00080.smt2,Z3,2208.7967285714285
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00667.smt2,Z3,2168.385532972973
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00633.smt2,Z3,2028.2904507692306
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0016/00124.smt2,Z3,2009.564766233766
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00624.smt2,Z3,1958.17812936345
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00172.smt2,Z3,1946.7415530799474
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0002/00163.smt2,Z3,1941.3065999999997
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0002/00266.smt2,Z3,1924.2044862068963
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00610.smt2,Z3,1908.7703777777776
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00337.smt2,Z3,1903.0030117647057
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00649.smt2,Z3,1897.340095862069
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00413.smt2,Z3,1869.9716069230772
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00641.smt2,Z3,1852.0925655172416
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00112.smt2,Z3,1832.7817545454539
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0024/00070.smt2,Z3,1830.3580000000002
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0008/00080.smt2,Z3,1811.9934171428567
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0008/00043.smt2,Z3,1798.3645
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0002/00274.smt2,Z3,1784.2332999999999
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00643.smt2,Z3,1720.2422204347824
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0002/00322.smt2,Z3,1702.9153078947368
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0016/00079.smt2,Z3,1690.8124563981046
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0016/00505.smt2,Z3,1662.1590766839379
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0008/00100.smt2,Z3,1661.2356490322582
