benchmark,prediction,loss
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00543.smt2,CVC4,3592.34019
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0003/00255.smt2,CVC4,3350.738
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0005/00059.smt2,CVC4,3333.8687510638297
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0003/00326.smt2,CVC4,3316.371
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0003/00136.smt2,CVC4,3258.0879999999997
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0016/01026.smt2,CVC4,3116.531
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0005/00027.smt2,CVC4,3062.277637
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0016/00261.smt2,CVC4,2977.745
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0005/00042.smt2,CVC4,2914.254172185714
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0003/00090.smt2,CVC4,2808.555
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0018/00103.smt2,CVC4,2779.9583239436615
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0012/00049.smt2,Z3,2639.28568
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00639.smt2,Z3,2444.51913
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0009/00113.smt2,UE+MathSAT,2401.5841269999996
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0001/00041.smt2,UE+MathSAT,2401.5329650000003
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0001/00301.smt2,UE+MathSAT,2401.507067
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0000/00290.smt2,UE+MathSAT,2401.501006
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0001/00023.smt2,UE+MathSAT,2401.49631
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0002/00377.smt2,UE+MathSAT,2401.4892290000003
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0024/00310.smt2,UE+MathSAT,2401.4879791
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0000/00303.smt2,UE+MathSAT,2401.4869001
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0024/00317.smt2,UE+MathSAT,2401.477588
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0015/00354.smt2,UE+MathSAT,2401.4720921
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0015/00018.smt2,UE+MathSAT,2401.4677149
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0008/00053.smt2,UE+MathSAT,2401.4661121
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0024/00413.smt2,UE+MathSAT,2401.465474
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0016/00456.smt2,UE+MathSAT,2401.464763
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0015/00276.smt2,UE+MathSAT,2401.464126
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0008/00051.smt2,UE+MathSAT,2401.4639681
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0009/00056.smt2,UE+MathSAT,2401.4635579
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0008/00118.smt2,UE+MathSAT,2401.461714
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0016/00974.smt2,UE+MathSAT,2401.4595429
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0016/00455.smt2,UE+MathSAT,2401.4562300000002
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00304.smt2,UE+MathSAT,2401.4527110999998
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0016/00273.smt2,UE+MathSAT,2401.450679
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0001/00322.smt2,UE+MathSAT,2401.450251
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00852.smt2,UE+MathSAT,2401.450089
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00536.smt2,UE+MathSAT,2401.450044
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0019/00030.smt2,UE+MathSAT,2401.4488260000003
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0015/00308.smt2,UE+MathSAT,2401.447608
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0015/00007.smt2,UE+MathSAT,2401.4471001
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0015/00228.smt2,UE+MathSAT,2401.4429109000002
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0009/00200.smt2,UE+MathSAT,2401.4402830000004
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0016/01010.smt2,UE+MathSAT,2401.4400210999997
/data/SMT-LIB-incremental/UFNIA/20190909-CLEARSY/0023/00607.smt2,UE+MathSAT,2401.439887
/data/SMT-LIB-incremental/UFNIA/20190906-CLEARSY/0009/00251.smt2,UE+MathSAT,2401.439823
