benchmark,prediction,loss
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4918449215874674307.smt2,Vampire,2399.986493
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2483471305697799151.smt2,Vampire,2399.9857141
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2877346194852999498.smt2,Vampire,2399.9856859
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt417959377453691885.smt2,Vampire,2399.985228
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7921311787748783420.smt2,Vampire,2399.984298
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt741234174882568077.smt2,Vampire,2399.9671099
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3194292525771355817.smt2,Vampire,2399.9665539
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3483261526207884553.smt2,Vampire,2399.96655
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1933252105235858757.smt2,Vampire,2399.966343
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt1159201572166098605.smt2,Vampire,2399.9662471
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3079651278844133451.smt2,Vampire,2399.9662119
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8236333718399198394.smt2,Vampire,2399.9661671
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7416520575268819194.smt2,Vampire,2399.96614
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5973516924442529596.smt2,Vampire,2399.966114
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6776054357117181772.smt2,Vampire,2399.966089
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2656045605463855856.smt2,Vampire,2399.9660861
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8461506944537887385.smt2,Vampire,2399.9659411
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt68096241451939046.smt2,Vampire,2399.9658289
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2945122671101297402.smt2,Vampire,2399.965789
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5442174384809630909.smt2,Vampire,2399.96578
