benchmark,prediction,loss
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8448225891155768703.smt2,UE+MathSAT,2399.9899961
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7313660825003525177.smt2,UE+MathSAT,2399.989964
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7881376677224781561.smt2,UE+MathSAT,2399.9895739
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6923429996904620774.smt2,UE+MathSAT,2399.989504
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4573480878516279922.smt2,UE+MathSAT,2399.9893629
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5692365801843027532.smt2,UE+MathSAT,2399.9893349
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8316629651722299319.smt2,UE+MathSAT,2399.989151
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6024050464617281973.smt2,UE+MathSAT,2399.9891391
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt695803296079882860.smt2,UE+MathSAT,2399.988945
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt9021836510277641217.smt2,UE+MathSAT,2399.988867
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt957390636032490963.smt2,UE+MathSAT,2399.98873
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5081048436682706951.smt2,UE+MathSAT,2399.9887281
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt6643775414055873014.smt2,UE+MathSAT,2399.9886609
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7222530020718168148.smt2,UE+MathSAT,2399.988637
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8628709735221002507.smt2,UE+MathSAT,2399.9886311
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8053188837935674895.smt2,UE+MathSAT,2399.9884431
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2316718945604016123.smt2,UE+MathSAT,2399.988116
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt7448723678334837541.smt2,UE+MathSAT,2399.987999
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt2767101596197762959.smt2,UE+MathSAT,2399.98796
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4341370744089114592.smt2,UE+MathSAT,2399.987866
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt3112647915076834284.smt2,UE+MathSAT,2399.987819
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt8865956595536504355.smt2,UE+MathSAT,2399.987793
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt4531298338524269383.smt2,UE+MathSAT,2399.9877631
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt9110010042268912659.smt2,UE+MathSAT,2399.9876931
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt883595953893691400.smt2,UE+MathSAT,2399.987672
/data/SMT-LIB-non-incremental/AUFLIA/20170829-Rodin/smt5989328590651999003.smt2,UE+MathSAT,2399.9876501
