benchmark,prediction,loss
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/thruster_symm_1468.fof.smt2,Alt-Ergo,2399.9559749
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibb4723d.smt2,Z3,2399.789956
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib51a177.smt2,Z3,2399.656474
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib4a7ca5.smt2,Alt-Ergo,2399.099122
/data/SMT-LIB-non-incremental/AUFLIRA/peter/symmetric_unsat_99.smt2,SMTInterpol,2398.16104
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib71572f.smt2,Z3,2395.13794
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib9deac9.smt2,veriT,363.646863
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibab23ec.smt2,CVC4,40.74805
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib9393d1.smt2,Vampire,10.7471431
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib032bc1.smt2,Vampire,5.5535071
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibc73955.smt2,Vampire,5.3862570000000005
/data/SMT-LIB-non-incremental/AUFLIRA/peter/symmetric_unsat_24.smt2,Vampire,4.126828
/data/SMT-LIB-non-incremental/AUFLIRA/peter/symmetric_unsat_20.smt2,Vampire,3.761752
/data/SMT-LIB-non-incremental/AUFLIRA/peter/symmetric_unsat_14.smt2,Vampire,3.655311
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibdd5b69.smt2,Vampire,3.1847729
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibf92b60.smt2,Vampire,3.117201
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib02ad30.smt2,Vampire,3.0531149
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib5619af.smt2,Vampire,2.8570081
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib570a3a.smt2,Vampire,2.79232
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibff30b9.smt2,Vampire,2.5005930999999997
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibd559fb.smt2,Vampire,2.2747929
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibebf8e3.smt2,Vampire,1.543468
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib603ae7.smt2,veriT,1.491171
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibd80268.smt2,CVC4,1.4886739
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibf130df.smt2,Vampire,1.4610899
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/vc_normalize_subst/quaternion_ds1_init_0016.fof.smt2,CVC4,1.2082099999999998
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib266c2d.smt2,Vampire,1.05947
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibf39475.smt2,Vampire,1.054943
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib12909b.smt2,Vampire,1.0276231
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib58e7b1.smt2,Vampire,0.8869640000000001
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibbc1f89.smt2,Vampire,0.8402639000000001
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib13447a.smt2,Vampire,0.7031339999999999
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_arithmetics/thruster_symm_0001.fof.smt2,Alt-Ergo,0.702339
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib4de718.smt2,Vampire,0.6563220000000001
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib0c4249.smt2,Vampire,0.6272899
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/vc_normalize_subst/quaternion_ds1_symm_0013.fof.smt2,Alt-Ergo,0.5957060000000001
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib26855d.smt2,Vampire,0.5861810000000001
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib78fba3.smt2,Vampire,0.5656659
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib39292b.smt2,Vampire,0.49130510000000005
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibf48d36.smt2,Vampire,0.4877931
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib7a7e8b.smt2,CVC4,0.467052
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib9e2003.smt2,Vampire,0.43348089999999995
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib5dee2f.smt2,Vampire,0.425466
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/quaternion_ds1_init_0122.fof.smt2,CVC4,0.419368
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_arithmetics/thruster_init_0194.fof.smt2,Alt-Ergo,0.41471009999999997
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib3bddfd.smt2,Vampire,0.4041631
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/thruster_init_0171.fof.smt2,CVC4,0.3713031
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtliba5127a.smt2,Vampire,0.3639521
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib339e3e.smt2,Vampire,0.3612591
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib1a84eb.smt2,Vampire,0.3536741
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibfb6727.smt2,Vampire,0.3125451
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibff95f2.smt2,Vampire,0.302594
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/thruster_inuse_0116.fof.smt2,SMTInterpol,0.3010301
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibdc5b41.smt2,Vampire,0.2990259
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib16268f.smt2,Vampire,0.276421
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib0756c4.smt2,Vampire,0.264795
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibe86a1b.smt2,Vampire,0.2533501
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/quaternion_ds1_init_0140.fof.smt2,CVC4,0.251309
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib6094fa.smt2,Vampire,0.2492599
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib8786b2.smt2,Vampire,0.230024
/data/SMT-LIB-non-incremental/AUFLIRA/peter/symmetric_unsat_4.smt2,Vampire,0.22531310000000002
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib0c7774.smt2,Vampire,0.186068
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/vc_normalize_subst/gauss_init_0052.fof.smt2,Alt-Ergo,0.181354
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/vc_normalize_subst/cl5_nebula_init_0006.fof.smt2,Vampire,0.176563
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib547570.smt2,veriT,0.15611199999999997
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibc7bc7e.smt2,Vampire,0.1487711
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib6964b0.smt2,Vampire,0.14281590000000002
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibc37a0b.smt2,CVC4,0.138617
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibc60e72.smt2,Vampire,0.130072
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibdb5c11.smt2,Vampire,0.1263251
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib57e046.smt2,CVC4,0.124612
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib1a597f.smt2,CVC4,0.11747300000000001
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib6c0688.smt2,CVC4,0.1130399
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib1bd9ca.smt2,CVC4,0.1085051
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib18bfcc.smt2,CVC4,0.108069
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibdd6929.smt2,CVC4,0.10802910000000002
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibe889e6.smt2,CVC4,0.10717199999999999
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib1562c6.smt2,CVC4,0.10640709999999999
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib885c4b.smt2,CVC4,0.10272900000000001
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array/cl5_nebula_norm_0030.fof.smt2,Vampire,0.10214290000000001
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/thruster_symm_0023.fof.smt2,Alt-Ergo,0.0984001
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib5c297a.smt2,CVC4,0.09790809999999998
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibd5ad8c.smt2,CVC4,0.09572699999999999
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib0e6bca.smt2,CVC4,0.092711
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_array_only/gauss_init_1416.fof.smt2,Vampire,0.090972
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibfa6725.smt2,Vampire,0.09074199999999999
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib833fe0.smt2,CVC4,0.089551
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibca67b0.smt2,CVC4,0.0893929
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib45b19a.smt2,CVC4,0.0878669
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtliba74a76.smt2,CVC4,0.0877221
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib423c50.smt2,Z3,0.08643910000000002
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib09c3a3.smt2,CVC4,0.085787
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtliba5281b.smt2,Z3,0.08554990000000001
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib124a65.smt2,CVC4,0.084799
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_arithmetics/thruster_init_0002.fof.smt2,Vampire,0.0836359
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib991d16.smt2,CVC4,0.0813751
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib401fa4.smt2,CVC4,0.08105290000000001
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibdbb8d0.smt2,CVC4,0.0808401
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib302891.smt2,CVC4,0.0804851
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibbe7bf1.smt2,CVC4,0.0804431
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib17b631.smt2,Z3,0.0798879
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/thruster_init_0004.fof.smt2,Vampire,0.077456
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/vc_normalize_subst/cl5_nebula_norm_0040.fof.smt2,Vampire,0.077308
/data/SMT-LIB-non-incremental/AUFLIRA/nasa/fol_simplify_structure_prop/thruster_init_0169.fof.smt2,Vampire,0.0772749
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlibb004da.smt2,CVC4,0.07669400000000001
/data/SMT-LIB-non-incremental/AUFLIRA/why/smtlib87d2ff.smt2,CVC4,0.07656700000000001
