benchmark,prediction,loss
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.808947.smt2,Vampire,2399.599332
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.803504.smt2,CVC4,2395.9793
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.761507.smt2,CVC4,2393.4365
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.659901.smt2,CVC4,2375.3711
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.698880.smt2,Alt-Ergo,2081.456
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.682948.smt2,Vampire,1998.326
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.694291.smt2,CVC4,1934.867
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.633492.smt2,CVC4,1865.614
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.663869.smt2,Vampire,44.287196099999996
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.689469.smt2,Vampire,42.91798
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.622405.smt2,Alt-Ergo,10.758132
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.807772.smt2,Vampire,3.1626399999999997
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.701134.smt2,Alt-Ergo,1.550565
/data/SMT-LIB-non-incremental/AUFNIRA/why/smtlibfc99e2.smt2,Vampire,0.462032
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.663953.smt2,Vampire,0.43210099999999996
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.640149.smt2,Vampire,0.393775
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.675941.smt2,CVC4,0.2354900000000002
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.810979.smt2,Z3,0.20448400000000005
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/fol_simplify_array_only/thruster_symm_1765.fof.smt2,CVC4,0.1974029
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.677614.smt2,Alt-Ergo,0.17901499999999998
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.701866.smt2,Alt-Ergo,0.16807310000000003
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.806772.smt2,Z3,0.15517399999999992
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.950199.smt2,Alt-Ergo,0.13287300000000002
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/vc_normalize_subst/cl5_nebula_norm_0031.fof.smt2,Vampire,0.11456000000000001
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.687278.smt2,Alt-Ergo,0.07969199999999999
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.622079.smt2,Z3,0.065004
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/smtlib.950232.smt2,Alt-Ergo,0.05838800000000002
/data/SMT-LIB-non-incremental/AUFNIRA/FFT/z3.951208.smt2,Alt-Ergo,0.021157099999999998
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/vc_normalize_subst/cl5_nebula_norm_0005.fof.smt2,Alt-Ergo,0.020180099999999996
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/vc_normalize_subst/cl5_nebula_norm_0039.fof.smt2,Z3,0.0095989
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/fol_simplify_structure_prop/cl5_nebula_norm_0018.fof.smt2,Alt-Ergo,0.007393999999999998
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/fol_simplify_structure_prop/quaternion_ds1_symm_0001.fof.smt2,CVC4,0.0060039999999999955
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/fol_simplify_arithmetics/quaternion_ds1_symm_0001.fof.smt2,CVC4,0.0057701
/data/SMT-LIB-non-incremental/AUFNIRA/nasa/vc_normalize_subst/quaternion_ds1_symm_0001.fof.smt2,CVC4,0.005419
