benchmark,prediction,loss
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_eq_bvnot_64bit.smt2,Z3,2399.9877489
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_eq_bvneg_32bit.smt2,UE+MathSAT,2399.985749
/data/SMT-LIB-non-incremental/BV/20190429-UltimateAutomizerSvcomp2019/soft_float_4_true-unreach-call_true-no-overflow_true-termination.c.cil.c_1.smt2,CVC4,2399.9853119
/data/SMT-LIB-non-incremental/BV/2017-Preiner-UltimateAutomizer/Primes_true-unreach-call.c_671.smt2,Z3,2399.9841111
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_15.smt2,UE+MathSAT,2399.9837019
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_3.smt2,UE+MathSAT,2399.9835561
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvuge_bvconcat0_4_4bit.smt2,UE+MathSAT,2399.9821269
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_14.smt2,UE+MathSAT,2399.981167
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_1.smt2,UE+MathSAT,2399.979202
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvugt_bvconcat0_2_64bit.smt2,UE+MathSAT,2399.9785351
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_40.smt2,UE+MathSAT,2399.9775701
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvuge_bvconcat0_34_32bit.smt2,UE+MathSAT,2399.9773361
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/ranking/mmedia_imaadpcm_imaadpcm.c.smt2,UE+MathSAT,2399.976884
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_45.smt2,UE+MathSAT,2399.976869
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/ranking/network_ndis_rtlnwifi_hw_hw_ccmp.c.smt2,UE+MathSAT,2399.976777
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/ranking/input_mouser_cseries.c.smt2,Bitwuzla,2399.9767421
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/ranking/filesys_fastfat_write.c.smt2,UE+MathSAT,2399.9761951
/data/SMT-LIB-non-incremental/BV/2018-Preiner-cav18/check_bvslt_bvadd_32bit.smt2,Z3,2399.9754669
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_56.smt2,UE+MathSAT,2399.974916
/data/SMT-LIB-non-incremental/BV/wintersteiger/fmsd13/fixpoint/small-equiv-fixpoint-9.smt2,Z3,2399.9743149
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/model/model_5_10.smt2,UE+MathSAT,2399.9734041
/data/SMT-LIB-non-incremental/BV/2017-Preiner-scholl-smt08/model/model_6_23.smt2,UE+MathSAT,2399.9732959
