benchmark,prediction,loss
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1271a_true-unreach-call.c_0.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_26.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0832_true-unreach-call.c_7.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/BVFP/20170501-Heizmann-UltimateAutomizer/bary_diverge_true-unreach-call.c_3025.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0720_true-unreach-call.c_0.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0730b_true-unreach-call.c_1.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0680b_true-unreach-call.c_1.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1012a_true-unreach-call.c_2.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/BVFP/20170501-Heizmann-UltimateAutomizer/bary_diverge_true-unreach-call.c_2063.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0877_true-unreach-call.c_5.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1270c_true-unreach-call.c_0.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0620b_true-unreach-call.c_1.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0661b_true-unreach-call.c_11.smt2,Z3 (2019),0.0
