benchmark,prediction,loss
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0663b_true-unreach-call.c_1.smt2,UE+MathSAT,2399.9553071
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0663b_true-unreach-call.c_2.smt2,UE+MathSAT,2399.9550381
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0876_true-unreach-call.c_13.smt2,Z3 (2019),2399.9502081
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0876_true-unreach-call.c_17.smt2,UE+MathSAT,2399.946396
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0320_true-unreach-call.c_3.smt2,UE+MathSAT,2399.936903
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1012a_true-unreach-call.c_14.smt2,UE+MathSAT,2399.935892
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0680b_true-unreach-call.c_1.smt2,UE+MathSAT,2399.9335159
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0682a_true-unreach-call.c_9.smt2,UE+MathSAT,2399.9301041
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0682a_true-unreach-call.c_12.smt2,UE+MathSAT,2399.9277719
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0680a_true-unreach-call.c_3.smt2,UE+MathSAT,2399.9270149
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0680b_true-unreach-call.c_3.smt2,UE+MathSAT,2399.9262091
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0683a_true-unreach-call.c_1.smt2,UE+MathSAT,2399.9256261
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0685a_true-unreach-call.c_7.smt2,UE+MathSAT,2399.924486
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0680b_true-unreach-call.c_0.smt2,UE+MathSAT,2399.9214491
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0930_true-unreach-call.c_14.smt2,UE+MathSAT,2399.92112
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_0.smt2,UE+MathSAT,2399.920236
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0680b_true-unreach-call.c_2.smt2,UE+MathSAT,2399.9175109
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0682a_true-unreach-call.c_8.smt2,UE+MathSAT,2399.9140399
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_4.smt2,UE+MathSAT,2399.9127109
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_14.smt2,UE+MathSAT,2399.9126371
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_26.smt2,CVC4,2399.912537
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_21.smt2,CVC4,2399.9125209
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_8.smt2,CVC4,2399.9124961
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_16.smt2,UE+MathSAT,2399.912381
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_19.smt2,UE+MathSAT,2399.9121419
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0662b_true-unreach-call.c_3.smt2,UE+MathSAT,2399.9112309
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_12.smt2,UE+MathSAT,2399.910837
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_2.smt2,UE+MathSAT,2399.9101399
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0684a_true-unreach-call.c_2.smt2,UE+MathSAT,2399.909614
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0684a_true-unreach-call.c_3.smt2,UE+MathSAT,2399.9090429
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_13.smt2,CVC4,2399.9087831
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_23.smt2,CVC4,2399.9083871
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_25.smt2,UE+MathSAT,2399.9076771
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_27.smt2,CVC4,2399.907312
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_22.smt2,CVC4,2399.907103
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_24.smt2,CVC4,2399.906818
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_11.smt2,UE+MathSAT,2399.9067769
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_9.smt2,CVC4,2399.9061211
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_20.smt2,CVC4,2399.905949
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0620b_true-unreach-call.c_1.smt2,UE+MathSAT,2399.904517
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0730b_true-unreach-call.c_1.smt2,UE+MathSAT,2399.896951
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1271a_true-unreach-call.c_3.smt2,UE+MathSAT,2399.886389
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1270b_true-unreach-call.c_9.smt2,CVC4,2399.875714
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0661b_true-unreach-call.c_12.smt2,UE+MathSAT,2399.874544
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0876_true-unreach-call.c_11.smt2,UE+MathSAT,2399.871189
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0971_true-unreach-call.c_10.smt2,Z3 (2019),2399.866318
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0310_true-unreach-call.c_6.smt2,Z3 (2019),2399.863726
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_1271a_true-unreach-call.c_4.smt2,UE+MathSAT,2399.860879
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0260_true-unreach-call.c_4.smt2,Z3 (2019),2399.85983
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0270a_true-unreach-call.c_5.smt2,Z3 (2019),2399.859323
/data/SMT-LIB-non-incremental/BVFP/20190429-UltimateAutomizerSvcomp2019/double_req_bl_0971_true-unreach-call.c_6.smt2,UE+MathSAT,2399.841022
