benchmark,prediction,loss
/data/SMT-LIB-non-incremental/LIA/psyco/076.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/LIA/tptp/ARI590=1.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/LIA/psyco/064.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/LIA/psyco/043.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/MADWiFi-encode_ie_ok_true-unreach-call.i_7.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/LIA/psyco/174.smt2,Z3 (2019),0.0
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_73.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/LIA/tptp/ARI017=1.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/LIA/psyco/108.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_82.smt2,Vampire,0.0
/data/SMT-LIB-non-incremental/LIA/psyco/121.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/LIA/tptp/ARI012=1.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/LIA/psyco/166.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/LIA/psyco/082.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/LIA/psyco/022.smt2,Z3,0.0
/data/SMT-LIB-non-incremental/LIA/UltimateAutomizer/nested9_true-unreach-call.i_1117.smt2,veriT+vite,0.0
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/Problem18_label34_false-unreach-call.c_3.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/LIA/tptp/ARI027=1.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/s3_srvr_2_true-unreach-call_true-no-overflow_false-termination.BV.c.cil.c_0.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/LIA/tptp/NUM874=1.smt2,CVC4,0.0
