benchmark,prediction,loss
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/Problem17_label54_false-unreach-call.c_4.smt2,Vampire,11999.9621959
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/Problem15_label00_false-unreach-call.c_11.smt2,Vampire,11999.886066
/data/SMT-LIB-non-incremental/LIA/tptp/NUM875=1.smt2,veriT+vite,2399.986311
/data/SMT-LIB-non-incremental/LIA/tptp/NUM916=1.smt2,veriT+vite,2399.986031
/data/SMT-LIB-non-incremental/LIA/tptp/ARI079=1.smt2,veriT,2399.9859589
/data/SMT-LIB-non-incremental/LIA/tptp/NUM896=1.smt2,veriT+vite,2399.985807
/data/SMT-LIB-non-incremental/LIA/tptp/NUM898=1.smt2,veriT+vite,2399.985658
/data/SMT-LIB-non-incremental/LIA/tptp/NUM893=1.smt2,veriT,2399.9853889
/data/SMT-LIB-non-incremental/LIA/tptp/ARI592=1.smt2,veriT,2399.9815081
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/jain_6_true-unreach-call_true-no-overflow_false-termination.i_3.smt2,SMTInterpol,2399.9811781
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/Problem15_label00_false-unreach-call.c_9.smt2,veriT+vite,2399.9809729
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_18.smt2,Z3 (2019),2399.9802889
/data/SMT-LIB-non-incremental/LIA/psyco/175.smt2,veriT,2399.980164
/data/SMT-LIB-non-incremental/LIA/psyco/062.smt2,SMTInterpol,2399.979091
/data/SMT-LIB-non-incremental/LIA/psyco/018.smt2,SMTInterpol,2399.9788969
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/jain_2_true-unreach-call_true-no-overflow_false-termination.i_16.smt2,veriT,2399.9778679
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/jain_2_true-unreach-call_true-no-overflow_false-termination.i_18.smt2,Z3,2399.9773139
/data/SMT-LIB-non-incremental/LIA/psyco/139.smt2,veriT+vite,2399.9763481
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/jain_2_true-unreach-call_true-no-overflow_false-termination.i_24.smt2,Z3 (2019),2399.9760141
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/jain_2_true-unreach-call_true-no-overflow_false-termination.i_2.smt2,Z3,2399.9758001
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_12.smt2,Z3 (2019),2399.9752841
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_26.smt2,Z3,2399.975222
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_13.smt2,veriT,2399.9752071
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_45.smt2,veriT+vite,2399.9751411
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_24.smt2,SMTInterpol,2399.975065
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/jain_2_true-unreach-call_true-no-overflow_false-termination.i_19.smt2,Z3 (2019),2399.9750489
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_21.smt2,veriT,2399.9747341
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/jain_2_true-unreach-call_true-no-overflow_false-termination.i_21.smt2,Z3 (2019),2399.974688
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_10.smt2,UE+MathSAT,2399.97446
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_37.smt2,Z3,2399.9743861
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_15.smt2,veriT,2399.9743159
/data/SMT-LIB-non-incremental/LIA/20190429-UltimateAutomizerSvcomp2019/Problem10_label59_true-unreach-call.c_34.smt2,Z3 (2019),2399.9741189
