benchmark,prediction,loss
/data/SMT-LIB-non-incremental/LRA/scholl-smt08/RND/RND_6_5.smt2,Z3 (2019),2399.9762361
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_047.smt2,Z3 (2019),2399.9498729
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_268.smt2,Z3,2399.9495639
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_172.smt2,Z3,2399.945347
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_151.smt2,Z3 (2019),2399.9422461
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_265.smt2,Z3,2399.940628
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_143.smt2,Z3 (2019),2399.9398579
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_267.smt2,Z3 (2019),2399.939747
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_207.smt2,Z3,2399.9309109
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_233.smt2,Z3,2399.930484
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_125.smt2,Z3,2399.9282849
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_294.smt2,Z3,2399.9178359
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_084.smt2,Z3 (2019),2399.856388
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_259.smt2,Z3 (2019),2399.804079
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_225.smt2,Z3,2399.720844
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_222.smt2,Z3,2399.506519
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_017.smt2,Z3 (2019),2399.379999
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_271.smt2,Z3,2399.330061
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_095.smt2,Z3,2398.91033
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_177.smt2,Z3,2398.44898
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_289.smt2,Z3,2397.47998
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_296.smt2,Z3,2397.47678
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir6/formula_179.smt2,Z3 (2019),2396.88766
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_229.smt2,Z3,2390.7289
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir1/formula_001.smt2,Z3,2388.5257
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_197.smt2,Z3,2364.5867
/data/SMT-LIB-non-incremental/LRA/2010-Monniaux-QE/mjollnir2/formula_172.smt2,Z3,2355.0968
