benchmark,prediction,loss
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node44023.smt2,UE+MathSAT,2399.9835279
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node41456.smt2,UE+MathSAT,2399.9834021
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node14168.smt2,UE+MathSAT,2399.9810671
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node53595.smt2,UE+MathSAT,2399.980481
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node21498.smt2,UE+MathSAT,2399.980063
/data/SMT-LIB-non-incremental/NRA/keymaera/bouncing-ball-node5840.smt2,UE+MathSAT,2399.9799111
/data/SMT-LIB-non-incremental/NRA/keymaera/bouncing-ball-inv-node6638.smt2,UE+MathSAT,2399.9796809
/data/SMT-LIB-non-incremental/NRA/keymaera/ETCS-essentials-live-range2.proof-node577.smt2,UE+MathSAT,2399.9673299
/data/SMT-LIB-non-incremental/NRA/keymaera/rbc-controllability-characterisation-node3299.smt2,UE+MathSAT,2399.9672021
/data/SMT-LIB-non-incremental/NRA/keymaera/ETCS-essentials-live2.proof-node640.smt2,CVC4,2399.9671859
/data/SMT-LIB-non-incremental/NRA/keymaera/bouncing-ball-node6060.smt2,UE+MathSAT,2399.96622
/data/SMT-LIB-non-incremental/NRA/keymaera/ETCS-d-braking-node2220.smt2,CVC4,2399.9658649
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node46858.smt2,UE+MathSAT,2399.9658461
/data/SMT-LIB-non-incremental/NRA/keymaera/to_left-node1505.smt2,CVC4,2399.9658121
/data/SMT-LIB-non-incremental/NRA/keymaera/dccs-example-node6708.smt2,CVC4,2399.965778
/data/SMT-LIB-non-incremental/NRA/keymaera/dynamic_reaction_to_static_bounds.proof-node829.smt2,UE+MathSAT,2399.9653921
/data/SMT-LIB-non-incremental/NRA/keymaera/bouncing-ball-inv-node6622.smt2,CVC4,2399.964916
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node12517.smt2,UE+MathSAT,2399.9648451
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node31555.smt2,UE+MathSAT,2399.9638521
/data/SMT-LIB-non-incremental/NRA/keymaera/controllability-lemma-disturbed-node5255.smt2,CVC4,2399.9635301
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node11162.smt2,UE+MathSAT,2399.9635131
/data/SMT-LIB-non-incremental/NRA/keymaera/dccs-example-node3895.smt2,UE+MathSAT,2399.9634721
/data/SMT-LIB-non-incremental/NRA/keymaera/intersection-example-onelane.proof-node16159.smt2,UE+MathSAT,2399.961857
/data/SMT-LIB-non-incremental/NRA/keymaera/binary_driver-2007-10-09-node8745.smt2,UE+MathSAT,2399.960801
/data/SMT-LIB-non-incremental/NRA/keymaera/accelerating-node2100.smt2,CVC4,2399.9606391
/data/SMT-LIB-non-incremental/NRA/keymaera/ETCS-essentials-live-range2.proof-node1046.smt2,UE+MathSAT,2399.9581411
