benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.30.smt2,Yices (2019),5.20446
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.26.smt2,Yices (2019),3.6141699999999997
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.28.smt2,Yices (2019),1.70287
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.19.smt2,Yices (2019),1.6533099999999998
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.29.smt2,Yices (2019),1.27964
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.24.smt2,Yices (2019),1.2162350000000002
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.26.smt2,Yices (2019),0.9826829999999999
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.30.smt2,Yices (2019),0.954828
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.28.smt2,Yices (2019),0.947678
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.22.smt2,Yices (2019),0.921577
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.27.smt2,Yices (2019),0.8960650000000001
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.23.smt2,Yices (2019),0.5644070000000001
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.29.smt2,Yices (2019),0.549804
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.25.smt2,Yices (2019),0.454044
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.24.smt2,Yices (2019),0.31337200000000004
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.21.smt2,Yices (2019),0.307816
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.17.smt2,Yices (2019),0.29457999999999995
