benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.13.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_bia_np_sf_ai_00013_001.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/pointer/pointer-safe-5.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/pointer/pointer-safe-10.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ALIA/piVC/piVC_408ff0.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.19.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.11.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.14.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.12.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-bug2-15.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.20.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_bia_np_sf_ai_00011_001.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_np_sf_ai_00010_001.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.8.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_ALIA/cvc/pp-dmem2.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/pointer/pointer-invalid-5.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.6.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_bia_np_sf_ai_00006_001.cvc.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.13.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_bia_np_sf_ai_00002_001.cvc.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/pointer/pointer-invalid-10.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_np_sf_ai_00011_001.cvc.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.28.smt2,CVC4,0.0
/data/SMT-LIB-non-incremental/QF_ALIA/piVC/piVC_3031c9.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.29.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_ALIA/cvc/pp-bloaddata-a.smt2,Yices,0.0
