benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_ALIA/cvc/read2.smt2,veriT,2399.9893871
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_np_sf_ai_00015_001.cvc.smt2,veriT,2399.987996
/data/SMT-LIB-non-incremental/QF_ALIA/cvc/pp-dmem2.smt2,veriT,2399.9852609
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.6.smt2,veriT,2399.979786
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.8.smt2,veriT,2399.9569961
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.13.smt2,Alt-Ergo,2399.9457431
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.10.smt2,veriT,2399.9330831
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-bug-10.smt2,veriT,2399.87631
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-mutex-10.smt2,veriT,2399.817449
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.10.smt2,Alt-Ergo,2399.755664
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-bug2-15.smt2,Alt-Ergo,2399.617313
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.24.smt2,Alt-Ergo,2399.342305
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.22.smt2,veriT,2399.226177
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.28.smt2,Alt-Ergo,2398.53359
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-mutex-20.smt2,veriT,2397.96071
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.25.smt2,veriT,2397.59595
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.7.smt2,Alt-Ergo,630.7710891
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.29.smt2,Z3,58.05288
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.30.smt2,Z3,52.744597999999996
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-mutex-15.smt2,SMTInterpol,40.584607000000005
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.12.smt2,SMTInterpol,26.633805
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.26.smt2,Z3,23.57659
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.23.smt2,Z3,15.224158
/data/SMT-LIB-non-incremental/QF_ALIA/cvc/pp-bloaddata.smt2,Alt-Ergo,6.551624
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.21.smt2,Z3,5.93207
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.23.smt2,Z3,5.7154300000000005
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.17.smt2,SMTInterpol,3.4630560000000004
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.14.smt2,MathSAT5,3.252465
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.26.smt2,SMTInterpol,2.939733
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.17.smt2,SMTInterpol,1.7188599999999998
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.16.smt2,SMTInterpol,1.657534
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.19.smt2,Yices (2019),1.6533099999999998
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.20.smt2,MathSAT5,0.8660149999999999
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.21.smt2,MathSAT5,0.665613
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_np_sf_ai_00014_001.cvc.smt2,Alt-Ergo,0.6316441
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-bug2-20.smt2,Z3,0.6123029999999999
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.24.smt2,MathSAT5,0.5838490000000001
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/pointer/pointer-safe-5.smt2,SMTInterpol,0.55820206
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.29.smt2,Yices (2019),0.549804
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-mutex-5.smt2,CVC4,0.5466249
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_bia_np_sf_ai_00011_001.cvc.smt2,Alt-Ergo,0.443041
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-bug2-10.smt2,CVC4,0.43837600000000004
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_bia_np_sf_ai_00014_001.cvc.smt2,SMTInterpol,0.428587
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_np_sf_ai_00013_001.cvc.smt2,Alt-Ergo,0.4017151
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_bia_np_sf_ai_00007_001.cvc.smt2,SMTInterpol,0.3987959
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_np_sf_ai_00004_001.cvc.smt2,SMTInterpol,0.364662
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.8.smt2,Z3,0.35175409999999996
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_np_sf_ai_00006_001.cvc.smt2,SMTInterpol,0.3500039
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-bug-5.smt2,CVC4,0.345761
