benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.26.smt2,Yices (2019),3.6141699999999997
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.19.smt2,Yices (2019),1.6533099999999998
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.23.smt2,MathSAT5,1.52476
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.24.smt2,Yices (2019),1.2162350000000002
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.27.smt2,MathSAT5,1.1317600000000003
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.22.smt2,Yices (2019),0.921577
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-bug2-20.smt2,MathSAT5,0.8844330000000001
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.20.smt2,MathSAT5,0.8660149999999999
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-bug-20.smt2,MathSAT5,0.599533
/data/SMT-LIB-non-incremental/QF_ALIA/piVC/piVC_3031c9.smt2,veriT,0.08938900000000001
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.7.smt2,Yices,0.059173100000000006
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.16.smt2,CVC4,0.04646599999999999
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.13.smt2,CVC4,0.031392
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/misc/queue-th1-6.smt2,Z3,0.028835000000000003
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.10.smt2,Yices,0.021651099999999993
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_bia_np_sf_ai_00009_001.cvc.smt2,Yices (2019),0.018340919999999997
/data/SMT-LIB-non-incremental/QF_ALIA/piVC/piVC_46582a.smt2,veriT,0.017419999999999998
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.9.smt2,Yices,0.016829800000000006
/data/SMT-LIB-non-incremental/QF_ALIA/piVC/piVC_509c40.smt2,veriT,0.0154149
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.8.smt2,Yices,0.011395100000000005
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_bia_np_sf_ai_00002_001.cvc.smt2,Yices (2019),0.011271200000000002
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_np_sf_ai_00008_001.cvc.smt2,Yices (2019),0.010636999999999999
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_bia_np_sf_ai_00010_001.cvc.smt2,Yices (2019),0.0085362
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_bia_np_sf_ai_00012_001.cvc.smt2,Yices (2019),0.008285899999999999
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/pointer/pointer-safe-5.smt2,Yices (2019),0.007465059999999999
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/misc/stack-invalid-6.smt2,Yices,0.007374000000000002
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_bia_np_sf_ai_00003_001.cvc.smt2,Yices (2019),0.0071228
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_np_sf_ai_00015_001.cvc.smt2,Yices,0.0062901
/data/SMT-LIB-non-incremental/QF_ALIA/cvc/pp-dmem-a.smt2,Yices,0.005880099999999999
/data/SMT-LIB-non-incremental/QF_ALIA/piVC/piVC_f5059f.smt2,Yices (2019),0.005216800000000001
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.induction.7.smt2,Yices,0.004926999999999997
/data/SMT-LIB-non-incremental/QF_ALIA/qlock2/qlock.base.6.smt2,Yices,0.004793799999999994
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_np_sf_ai_00013_001.cvc.smt2,Yices,0.004605
/data/SMT-LIB-non-incremental/QF_ALIA/ios/ios_t1_ios_bia_np_sf_ai_00011_001.cvc.smt2,Yices (2019),0.003292999999999999
/data/SMT-LIB-non-incremental/QF_ALIA/array_benchmarks/qlock/qlock-bug-10.smt2,Yices (2019),0.0031920000000000004
/data/SMT-LIB-non-incremental/QF_ALIA/piVC/piVC_cb19c7.smt2,Yices (2019),0.002862
