benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1059.smt2,Poolector (2019),2399.99034609
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_351.smt2,Poolector (2019),2399.990265
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_388.smt2,Poolector (2019),2399.989807
/data/SMT-LIB-non-incremental/QF_BV/calypto/problem_15.smt2,Bitwuzla,2399.9892829
/data/SMT-LIB-non-incremental/QF_BV/pspace/ndist.a.28982.smt2,Bitwuzla,2399.981309
/data/SMT-LIB-non-incremental/QF_BV/pspace/ndist.a.29980.smt2,Bitwuzla,2399.980877
/data/SMT-LIB-non-incremental/QF_BV/stp_samples/22930-0601-11.smt2,Bitwuzla,2399.892843
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_3806.smt2,Bitwuzla,2399.160422
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_4976.smt2,Bitwuzla,2399.081611
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_8285.smt2,Bitwuzla,2399.042915
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_9377.smt2,Bitwuzla,2398.88179
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_5957.smt2,Poolector (2019),2398.70188
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_13256.smt2,Poolector (2019),2398.59015
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_7792.smt2,Bitwuzla,2398.50469
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_15613.smt2,Bitwuzla,2398.35731
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_4988.smt2,Bitwuzla,2398.33635
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10328.smt2,Bitwuzla,2397.91976
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10836.smt2,Bitwuzla,2397.85838
/data/SMT-LIB-non-incremental/QF_BV/float/add_01_10_2.smt2,Bitwuzla,2396.57855
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10542.smt2,Bitwuzla,2395.41105
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_7770.smt2,Bitwuzla,2395.33607
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_14237.smt2,Poolector (2019),2395.06729
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_5994.smt2,Poolector (2019),2392.1552
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvmul_14.smt2,Poolector (2019),2366.2357
/data/SMT-LIB-non-incremental/QF_BV/calypto/problem_7.smt2,Bitwuzla,2350.5233
/data/SMT-LIB-non-incremental/QF_BV/asp/KnightTour/knightTour.in05.smt2,Bitwuzla,2322.9454
/data/SMT-LIB-non-incremental/QF_BV/calypto/problem_13.smt2,Bitwuzla,2304.2812
/data/SMT-LIB-non-incremental/QF_BV/mcm/76.smt2,Poolector (2019),2219.835
/data/SMT-LIB-non-incremental/QF_BV/mcm/70.smt2,Bitwuzla,2205.707
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_8740.smt2,Bitwuzla,2199.348
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvsub_21946.smt2,Bitwuzla,2193.173
/data/SMT-LIB-non-incremental/QF_BV/VS3/VS3-benchmark-A13.smt2,Poolector (2019),2187.904
/data/SMT-LIB-non-incremental/QF_BV/stp_samples/22930-0426-195.smt2,Bitwuzla,2186.567
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_9638.smt2,Bitwuzla,2142.774
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10608.smt2,Poolector (2019),2141.679
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_12491.smt2,Poolector (2019),2138.176
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_8742.smt2,Bitwuzla,2127.879
/data/SMT-LIB-non-incremental/QF_BV/brummayerbiere3/maxxor064.smt2,Bitwuzla,2127.5969999999998
/data/SMT-LIB-non-incremental/QF_BV/fft/Sz512_15128_4.smt2,Bitwuzla,2126.044
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_14294.smt2,Poolector (2019),2125.891
/data/SMT-LIB-non-incremental/QF_BV/mcm/129.smt2,Bitwuzla,2104.867
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvsub_16961.smt2,Bitwuzla,2073.457
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_9674.smt2,Bitwuzla,2068.635
/data/SMT-LIB-non-incremental/QF_BV/mcm/140.smt2,Bitwuzla,2066.127
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_11600.smt2,Bitwuzla,2062.314
/data/SMT-LIB-non-incremental/QF_BV/mcm/78.smt2,Bitwuzla,2031.496
/data/SMT-LIB-non-incremental/QF_BV/float/newton.4.3.i.smt2,Bitwuzla,2020.367
/data/SMT-LIB-non-incremental/QF_BV/mcm/169.smt2,Bitwuzla,1942.175
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvsub_22943.smt2,Bitwuzla,1892.658
/data/SMT-LIB-non-incremental/QF_BV/brummayerbiere3/maxor128.smt2,Bitwuzla,1859.982
/data/SMT-LIB-non-incremental/QF_BV/fft/Sz1024_34824.smt2,Bitwuzla,1811.392
/data/SMT-LIB-non-incremental/QF_BV/mcm/74.smt2,Bitwuzla,1802.184
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_9325.smt2,Bitwuzla,1742.7179999999998
