benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvashr_0526.smt2,STP-MergeSat,11998.21993
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1397.smt2,LazyBV2Int,2399.99036008
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1310.smt2,MathSAT5,2399.99035295
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1059.smt2,MathSAT5,2399.99034609
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1322.smt2,Z3,2399.9903141
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1444.smt2,Z3,2399.99028695
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1324.smt2,CVC4,2399.9902179
/data/SMT-LIB-non-incremental/QF_BV/brummayerbiere4/unconstrained10.smt2,LazyBV2Int,2399.99015999
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1142.smt2,LazyBV2Int,2399.9899219
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1220.smt2,Poolector (2019),2399.989869
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_388.smt2,Boolector (2019),2399.989807
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1474.smt2,LazyBV2Int,2399.989576
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_12426.smt2,CVC4,2399.9894839
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_151.smt2,Z3,2399.9891029
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1360.smt2,LazyBV2Int,2399.988399
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_17309.smt2,Z3,2399.98833
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_15055.smt2,LazyBV2Int,2399.98825
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1468.smt2,LazyBV2Int,2399.988128
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1057.smt2,Z3,2399.9875801
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1317.smt2,MathSAT5,2399.9874589
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_15258.smt2,Z3,2399.9871109
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_15292.smt2,Z3,2399.9870139
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_516.smt2,LazyBV2Int,2399.9870019
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_9087.smt2,Z3,2399.9852741
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_7137.smt2,Z3,2399.983907
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_7558.smt2,Z3,2399.983299
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_17435.smt2,Z3,2399.982022
/data/SMT-LIB-non-incremental/QF_BV/spear/wget_v1.10.2/src_wget_vc17878.smt2,LazyBV2Int,2399.9819159
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_15291.smt2,LazyBV2Int,2399.9818811
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_11124.smt2,LazyBV2Int,2399.9816
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_15724.smt2,Z3,2399.9815751
/data/SMT-LIB-non-incremental/QF_BV/pspace/ndist.a.27984.smt2,STP,2399.981214
/data/SMT-LIB-non-incremental/QF_BV/spear/wget_v1.10.2/src_wget_vc18501.smt2,LazyBV2Int,2399.98114
/data/SMT-LIB-non-incremental/QF_BV/sage/app8/bench_3363.smt2,LazyBV2Int,2399.9807591
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_7438.smt2,CVC4,2399.980705
/data/SMT-LIB-non-incremental/QF_BV/sage/app12/bench_221.smt2,LazyBV2Int,2399.9802461
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_15832.smt2,LazyBV2Int,2399.9785201
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_8822.smt2,Z3,2399.978162
/data/SMT-LIB-non-incremental/QF_BV/sage/app9/bench_3036.smt2,LazyBV2Int,2399.9771759
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_3366.smt2,LazyBV2Int,2399.976787
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_13554.smt2,LazyBV2Int,2399.9759909
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_16081.smt2,CVC4,2399.9757931
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_15661.smt2,Z3,2399.97542
/data/SMT-LIB-non-incremental/QF_BV/spear/wget_v1.10.2/src_wget_vc18757.smt2,LazyBV2Int,2399.9753829
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_1046.smt2,LazyBV2Int,2399.972433
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_14975.smt2,LazyBV2Int,2399.9715279
/data/SMT-LIB-non-incremental/QF_BV/sage/app1/bench_1189.smt2,LazyBV2Int,2399.9691501
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10063.smt2,LazyBV2Int,2399.969024
/data/SMT-LIB-non-incremental/QF_BV/bruttomesso/core/ext_con_044_004_0032.smt2,LazyBV2Int,2399.9679149
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_14841.smt2,LazyBV2Int,2399.9676959
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_3169.smt2,LazyBV2Int,2399.9659531
/data/SMT-LIB-non-incremental/QF_BV/bruttomesso/core/ext_con_044_008_0032.smt2,LazyBV2Int,2399.965792
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_14995.smt2,LazyBV2Int,2399.9640499
/data/SMT-LIB-non-incremental/QF_BV/sage/app12/bench_672.smt2,LazyBV2Int,2399.962964
/data/SMT-LIB-non-incremental/QF_BV/sage/app12/bench_2507.smt2,LazyBV2Int,2399.959876
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_17628.smt2,CVC4,2399.9594879
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6405.smt2,Z3,2399.959129
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_14590.smt2,Z3,2399.9587079
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_17521.smt2,Z3,2399.9585191
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_8043.smt2,LazyBV2Int,2399.958153
/data/SMT-LIB-non-incremental/QF_BV/bruttomesso/lfsr/lfsr_002_079_032.smt2,LazyBV2Int,2399.95768
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_16835.smt2,Z3,2399.9568329
/data/SMT-LIB-non-incremental/QF_BV/sage/app12/bench_5633.smt2,LazyBV2Int,2399.9564049
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_14736.smt2,LazyBV2Int,2399.9556871
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6639.smt2,Z3,2399.9552289
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_3597.smt2,LazyBV2Int,2399.9516499
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_5729.smt2,LazyBV2Int,2399.948971
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10706.smt2,Z3,2399.9477591
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_11923.smt2,LazyBV2Int,2399.945728
/data/SMT-LIB-non-incremental/QF_BV/sage/app8/bench_701.smt2,LazyBV2Int,2399.9453131
/data/SMT-LIB-non-incremental/QF_BV/sage/app9/bench_3012.smt2,LazyBV2Int,2399.9438169
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_12052.smt2,LazyBV2Int,2399.9437
/data/SMT-LIB-non-incremental/QF_BV/uclid/catchconv/convert-jpg2gif-query-1147.smt2,LazyBV2Int,2399.9432569
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_14788.smt2,Z3,2399.942999
/data/SMT-LIB-non-incremental/QF_BV/sage/app8/bench_250.smt2,LazyBV2Int,2399.9428639
/data/SMT-LIB-non-incremental/QF_BV/bruttomesso/core/ext_con_064_002_0032.smt2,LazyBV2Int,2399.942653
/data/SMT-LIB-non-incremental/QF_BV/uclid/catchconv/convert-jpg2gif-query-1159.smt2,LazyBV2Int,2399.9412889
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6154.smt2,Z3,2399.9409999
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6925.smt2,Z3,2399.938848
/data/SMT-LIB-non-incremental/QF_BV/bruttomesso/core/ext_con_028_002_0064.smt2,LazyBV2Int,2399.9388061
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_7275.smt2,Z3,2399.9386529
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_8415.smt2,LazyBV2Int,2399.936662
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_3726.smt2,LazyBV2Int,2399.934855
/data/SMT-LIB-non-incremental/QF_BV/sage/app8/bench_242.smt2,LazyBV2Int,2399.9345421
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_7531.smt2,Z3,2399.931446
/data/SMT-LIB-non-incremental/QF_BV/uclid/catchconv/convert-jpg2gif-query-1381.smt2,LazyBV2Int,2399.9311879
/data/SMT-LIB-non-incremental/QF_BV/bruttomesso/core/ext_con_060_002_0032.smt2,LazyBV2Int,2399.930455
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_17204.smt2,Z3,2399.929208
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_14044.smt2,LazyBV2Int,2399.9290939
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_17039.smt2,Z3,2399.928828
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6160.smt2,CVC4,2399.926536
/data/SMT-LIB-non-incremental/QF_BV/float/mult1.c.10.smt2,LazyBV2Int,2399.9249801
/data/SMT-LIB-non-incremental/QF_BV/sage/app9/bench_2957.smt2,LazyBV2Int,2399.924528
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_7832.smt2,LazyBV2Int,2399.924269
/data/SMT-LIB-non-incremental/QF_BV/sage/app1/bench_1021.smt2,LazyBV2Int,2399.9228401
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_8464.smt2,MathSAT5,2399.922673
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_6955.smt2,LazyBV2Int,2399.9226299
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_3103.smt2,MathSAT5,2399.9217081
/data/SMT-LIB-non-incremental/QF_BV/bruttomesso/core/ext_con_032_008_0064.smt2,LazyBV2Int,2399.921456
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_12870.smt2,LazyBV2Int,2399.920894
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_16311.smt2,Z3,2399.920772
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_4039.smt2,Z3,2399.9192569
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_16876.smt2,Z3,2399.9184591
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_17099.smt2,LazyBV2Int,2399.9161761
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_13306.smt2,LazyBV2Int,2399.914475
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_9354.smt2,MathSAT5,2399.913441
/data/SMT-LIB-non-incremental/QF_BV/uclid/catchconv/convert-jpg2gif-query-1488.smt2,LazyBV2Int,2399.9131941
/data/SMT-LIB-non-incremental/QF_BV/uclid/catchconv/convert-jpg2gif-query-1388.smt2,LazyBV2Int,2399.9092101
/data/SMT-LIB-non-incremental/QF_BV/bruttomesso/core/ext_con_028_002_0128.smt2,LazyBV2Int,2399.9073039
/data/SMT-LIB-non-incremental/QF_BV/uclid/catchconv/convert-jpg2gif-query-1520.smt2,LazyBV2Int,2399.906499
/data/SMT-LIB-non-incremental/QF_BV/uclid/catchconv/convert-jpg2gif-query-1530.smt2,LazyBV2Int,2399.905654
/data/SMT-LIB-non-incremental/QF_BV/uclid/catchconv/convert-jpg2gif-query-1422.smt2,LazyBV2Int,2399.903419
/data/SMT-LIB-non-incremental/QF_BV/bruttomesso/core/ext_con_052_002_0064.smt2,LazyBV2Int,2399.895639
/data/SMT-LIB-non-incremental/QF_BV/stp_samples/22930-0601-11.smt2,Z3,2399.892843
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_7776.smt2,Z3,2399.881909
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_14517.smt2,Z3,2399.875973
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_370.smt2,LazyBV2Int,2399.872957
/data/SMT-LIB-non-incremental/QF_BV/bruttomesso/core/ext_con_032_016_0128.smt2,LazyBV2Int,2399.872051
