benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1310.smt2,MathSAT5,2399.99035295
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_622.smt2,LazyBV2Int,2399.9902089
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1142.smt2,LazyBV2Int,2399.9899219
/data/SMT-LIB-non-incremental/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_497.smt2,CVC4,2399.9892971
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_4039.smt2,MathSAT5,2399.9192569
/data/SMT-LIB-non-incremental/QF_BV/stp_samples/22930-0601-11.smt2,Poolector (2019),2399.892843
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_14233.smt2,Yices,2399.781143
/data/SMT-LIB-non-incremental/QF_BV/brummayerbiere3/maxandminor128.smt2,STP,2399.705031
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_4988.smt2,MinkeyRink,2398.33635
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10328.smt2,Bitwuzla,2397.91976
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_10542.smt2,MinkeyRink,2395.41105
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvadd_12887.smt2,LazyBV2Int,2392.82404
/data/SMT-LIB-non-incremental/QF_BV/Sage2/bench_11272.smt2,Yices,2387.4469
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvadd_20870.smt2,LazyBV2Int,2385.9617
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvadd_23531.smt2,LazyBV2Int,2383.4717
/data/SMT-LIB-non-incremental/QF_BV/asp/EdgeMatching/edge-matching-width=7-height=7-colours=13.smt2,MathSAT5,2376.5183
/data/SMT-LIB-non-incremental/QF_BV/mcm/31.smt2,MathSAT5,2369.1185
/data/SMT-LIB-non-incremental/QF_BV/mcm/27.smt2,MathSAT5,2341.3935
/data/SMT-LIB-non-incremental/QF_BV/mcm/73.smt2,MathSAT5,2315.6856
/data/SMT-LIB-non-incremental/QF_BV/mcm/51.smt2,MathSAT5,2314.5963
/data/SMT-LIB-non-incremental/QF_BV/calypto/problem_8.smt2,MathSAT5,2263.84
/data/SMT-LIB-non-incremental/QF_BV/float/newton.3.2.i.smt2,MathSAT5,2259.865
/data/SMT-LIB-non-incremental/QF_BV/mcm/80.smt2,Z3,2228.525
/data/SMT-LIB-non-incremental/QF_BV/mcm/70.smt2,MathSAT5,2205.707
/data/SMT-LIB-non-incremental/QF_BV/log-slicing/bvsub_21946.smt2,Poolector (2019),2193.173
