benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.115.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/imperial_synthetic_prefix_sum_klee_bug_double.x86_64/query.19.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.371.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/aachen_syn_inf_double.x86_64/query.18.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.347.smt2,COLIBRI,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.124.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.329.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/aachen_real_units_meter_ft.x86_64/query.101.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/imperial_synthetic_interval_klee_bug.x86_64/query.23.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/imperial_synthetic_interval_klee_bug_symbolic_increment.x86_64/query.13.smt2,COLIBRI,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.186.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/aachen_real_wxpro_tostr.x86_64/query.61.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0250b_true-unreach-call.c_0.smt2,MathSAT5,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/imperial_svcomp_float-benchs_svcomp_rlim_invariant.x86_64/query.582.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/imperial_synthetic_interval_klee_bug.x86_64/query.10.smt2,COLIBRI,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/imperial_synthetic_non_terminating_klee_bug.x86_64/query.07.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/imperial_synthetic_non_terminating_klee_bug.x86_64/query.27.smt2,Bitwuzla,0.0
/data/SMT-LIB-non-incremental/QF_BVFP/20170428-Liew-KLEE/aachen_real_wxpro_tostr.x86_64/query.63.smt2,Bitwuzla,0.0
