benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_FP/schanda/spark/exp_2_precision.smt2,MathSAT5,2399.886592
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/e3_1.c.smt2,COLIBRI,2399.746696
/data/SMT-LIB-non-incremental/QF_FP/schanda/spark/range_add_mult.smt2,MathSAT5,2399.657259
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.6.1.i.smt2,CVC4,2399.602834
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/div.c.30.smt2,Z3,2399.382782
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.1.2.i.smt2,Z3,2399.287531
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/div.c.40.smt2,Z3,2399.095777
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/div.c.50.smt2,Z3,2398.66812
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.1.3.i.smt2,CVC4,2397.29949
/data/SMT-LIB-non-incremental/QF_FP/schanda/spark/average_4.smt2,COLIBRI,2397.03324
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sin.c.25.smt2,MathSAT5,2395.89344
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sin2.c.25.smt2,MathSAT5,2395.87525
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sqrt.c.15.smt2,COLIBRI,2394.07656
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sin2.c.20.smt2,CVC4,2393.87543
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.7.3.i.smt2,Z3,2391.69567
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.2.3.i.smt2,Bitwuzla,2390.77667
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sqrt.c.20.smt2,COLIBRI,2387.4006
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.3.3.i.smt2,MathSAT5,2387.1353
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sin2.c.75.smt2,Z3,2387.0575
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.4.3.i.smt2,Z3,2377.911
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.5.2.i.smt2,CVC4,2375.4881
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sqrt.c.10.smt2,COLIBRI,2373.7093
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/gaussian.c.125.smt2,CVC4,2368.5437
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.5.3.i.smt2,MathSAT5,2365.2896
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r17_vr1_c1_s23882.smt2,Bitwuzla,2340.0297
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sin2.c.125.smt2,CVC4,2333.5727
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/gaussian.c.175.smt2,MathSAT5,2258.327
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r7_vr1_c1_s24449.smt2,CVC4,2198.593
/data/SMT-LIB-non-incremental/QF_FP/schanda/spark/user_rule_1.smt2,CVC4,2172.778
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r10_vr10_c1_s21502.smt2,CVC4,1878.842
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r10_vr10_c1_s15708.smt2,CVC4,1680.214
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r17_vr1_c1_s30331.smt2,CVC4,1628.9470000000001
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r15_vr10_c1_s14516.smt2,CVC4,1594.8890000000001
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r12_vr1_c1_s703.smt2,MathSAT5,1403.286
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r12_vr5_c1_s14336.smt2,Z3,1151.85371
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sin.c.75.smt2,Bitwuzla,845.3105999999999
/data/SMT-LIB-non-incremental/QF_FP/schanda/spark/angle_between_2.smt2,CVC4,836.203179
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/newton.4.2.i.smt2,Bitwuzla,806.5212399999999
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r7_vr1_c1_s22845.smt2,Z3,769.2027800000001
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/mul_03_30_4.smt2,Z3,764.2746
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r12_vr10_c1_s15994.smt2,Z3,762.2659999999998
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r12_vr5_c1_s8938.smt2,Z3,664.7739399999999
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/div.c.20.smt2,Z3,663.879144
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/mul_03_30_1.smt2,MathSAT5,616.49172
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r15_vr5_c1_s26657.smt2,MathSAT5,537.446
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r10_vr5_c1_s13195.smt2,Z3,405.49204000000003
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r7_vr10_c1_s10625.smt2,CVC4,296.381
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/sine.6.0.i.smt2,MathSAT5,274.23812499999997
