benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/pow5.smt2,Bitwuzla,2399.681015
/data/SMT-LIB-non-incremental/QF_FP/schanda/spark/angle_between_2.smt2,MathSAT5,2399.163179
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r5_vr5_c1_s24018.smt2,COLIBRI,2368.9476
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r17_vr1_c1_s23882.smt2,COLIBRI,2340.0297
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r5_vr5_c1_s2800.smt2,COLIBRI,2335.7411
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r12_vr5_c1_s29826.smt2,COLIBRI,2290.743
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/gaussian.c.175.smt2,Bitwuzla,2258.327
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r10_vr5_c1_s8690.smt2,COLIBRI,2237.123
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r15_vr1_c1_s26845.smt2,COLIBRI,2236.792
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r10_vr5_c1_s13679.smt2,COLIBRI,2218.811
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r7_vr10_c1_s10625.smt2,COLIBRI,2176.148
/data/SMT-LIB-non-incremental/QF_FP/schanda/spark/user_rule_1.smt2,MathSAT5,2172.778
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r10_vr10_c1_s7608.smt2,COLIBRI,2127.524
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r15_vr5_c1_s26657.smt2,COLIBRI,2119.9809999999998
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r12_vr10_c1_s15994.smt2,COLIBRI,2112.396
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r7_vr5_c1_s19694.smt2,COLIBRI,2110.478
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r15_vr5_c1_s23844.smt2,COLIBRI,2008.067
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r15_vr5_c1_s8246.smt2,COLIBRI,1970.221
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r12_vr1_c1_s10576.smt2,CVC4,1918.613
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r10_vr10_c1_s21502.smt2,COLIBRI,1878.842
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r10_vr10_c1_s15708.smt2,COLIBRI,1680.214
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r17_vr1_c1_s30331.smt2,CVC4,1628.9470000000001
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v5_r15_vr10_c1_s14516.smt2,COLIBRI,1594.8890000000001
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r12_vr1_c1_s703.smt2,COLIBRI,1403.286
/data/SMT-LIB-non-incremental/QF_FP/griggio/fmcad12/test_v7_r7_vr10_c1_s32506.smt2,CVC4,571.455
