benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_icl776.smt2,veriT,0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_icl1034.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn086.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn1264.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_lann.5.prop1_ab_cti_max.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1282.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg7/gensys_brn_sk052.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn394.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_icl796.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/loops6/iso_icl054.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn708.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1048.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn817.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_icl621.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_icl1078.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn1057.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn095.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_icl1145.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_icl045.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_brn617.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/iso_brn902.smt2,Yices (2019),0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg5/gensys_icl917.smt2,Yices,0.0
/data/SMT-LIB-non-incremental/QF_UF/QG-classification/qg7/gensys_brn004.smt2,Yices (2019),0.0
