benchmark,prediction,loss
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard11.smt2,CVC4,2399.793508
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard13.smt2,CVC4,2399.624042
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard12.smt2,CVC4,2399.489361
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard14.smt2,veriT,2399.397851
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard20.smt2,CVC4,2398.55339
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f9nidw.smt2,veriT,2398.15514
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f10n.smt2,SMTInterpol,2397.65792
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f10b.smt2,veriT,2397.52153
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f10id.smt2,SMTInterpol,2397.35045
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f10nidw.smt2,MathSAT5,2395.19047
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid2/ooo.rf12.smt2,veriT,2371.8611
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid/q2.20.smt2,veriT,2191.822
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/g10bidw.smt2,SMTInterpol,841.798586
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard8.smt2,CVC4,754.792119
/data/SMT-LIB-non-incremental/QF_UFIDL/pete3/bug_file4.smt2,CVC4,693.878695
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid2/elf.rf12.smt2,CVC4,686.6352999999999
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f8bidw.smt2,veriT,637.569758
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid2/ooo.rf13.smt2,Z3,442.09999999999997
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid2/cache.inv15.smt2,SMTInterpol,411.24104
/data/SMT-LIB-non-incremental/QF_UFIDL/pete/9stage-flush.smt2,MathSAT5,381.424417
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f9n.smt2,MathSAT5,305.03448000000003
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/g10id.smt2,CVC4,267.388042
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c9idw.smt2,CVC4,253.69616
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10id.smt2,CVC4,251.14939
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10bidw.smt2,CVC4,217.39871
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f8.smt2,CVC4,54.940271
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard19.smt2,MathSAT5,51.746534000000004
/data/SMT-LIB-non-incremental/QF_UFIDL/uclid2/cache.inv17.smt2,veriT,44.9401
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f8b.smt2,SMTInterpol,26.72103
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c6i_i.smt2,CVC4,23.427516999999998
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10bi.smt2,CVC4,23.33271
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f7nidw.smt2,MathSAT5,22.026571
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/g10bi.smt2,veriT,18.237393
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/g10i.smt2,MathSAT5,17.937853
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10nidw.smt2,SMTInterpol,17.89808
/data/SMT-LIB-non-incremental/QF_UFIDL/pete/8stage-flush.smt2,MathSAT5,17.602012000000002
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/g7bidw.smt2,SMTInterpol,13.7552641
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10ni.smt2,MathSAT5,13.60887
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/g7nidw.smt2,SMTInterpol,12.0751431
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/f7bidw.smt2,veriT,12.019739999999999
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10bidw_i.smt2,SMTInterpol,11.6022
/data/SMT-LIB-non-incremental/QF_UFIDL/mathsat/EufLaArithmetic/vhard/vhard15.smt2,MathSAT5,11.439527
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10bid_i.smt2,SMTInterpol,10.14402
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c7bidw_i.smt2,CVC4,9.904276
/data/SMT-LIB-non-incremental/QF_UFIDL/pete2/c10bid.smt2,SMTInterpol,9.155619999999999
