benchmark,prediction,loss
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_49_47_015_1207389.smt_in.smt2,Vampire,2399.961781
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_49_48_147_1208818.smt_in.smt2,Vampire,2399.951422
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_49_44_292_1204654.smt_in.smt2,Vampire,2399.950632
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_17_00_13_568_1081124.smt_in.smt2,Vampire,2399.9433679
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/sorted_list_operations/x2015_09_10_16_47_41_101_1067273.smt_in.smt2,Vampire,2399.9372881
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/tllist/x2015_09_10_17_00_34_020_1359223.smt_in.smt2,Vampire,2399.8994
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_52_49_766_1255952.smt_in.smt2,Vampire,2399.89652
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_50_39_184_1263967.smt_in.smt2,Vampire,2399.894979
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_48_08_223_1094233.smt_in.smt2,Vampire,2399.876133
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/tllist/x2015_09_10_16_58_13_570_1192872.smt_in.smt2,Vampire,2399.831197
/data/SMT-LIB-non-incremental/UF/sledgehammer/Hoare/uf.582225.smt2,Vampire,2399.825648
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_20_10_746_2912462.smt_in.smt2,Vampire,2399.824745
/data/SMT-LIB-non-incremental/UF/sledgehammer/TypeSafe/uf.683492.smt2,Vampire,2399.82458
/data/SMT-LIB-non-incremental/UF/sledgehammer/TypeSafe/uf.697342.smt2,Vampire,2399.820683
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_08_18_609_2308344.smt_in.smt2,Vampire,2399.805217
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_50_32_881_1257158.smt_in.smt2,Vampire,2399.773125
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_50_28_337_1251891.smt_in.smt2,Vampire,2399.771412
/data/SMT-LIB-non-incremental/UF/sledgehammer/Hoare/uf.784610.smt2,Vampire,2399.702702
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_53_42_012_1077544.smt_in.smt2,Vampire,2399.700317
/data/SMT-LIB-non-incremental/UF/sledgehammer/Hoare/uf.788822.smt2,Vampire,2399.668114
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_stream/x2015_09_10_17_25_01_009_1227491.smt_in.smt2,Vampire,2399.651912
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_06_22_189_2146704.smt_in.smt2,Vampire,2399.528507
