benchmark,prediction,loss
/data/SMT-LIB-non-incremental/UF/misc/set13.smt2,SMTInterpol,2399.98809
/data/SMT-LIB-non-incremental/UF/20190906-CLEARSY/0000/00068.smt2,UE+MathSAT,2399.98577
/data/SMT-LIB-non-incremental/UF/20190906-CLEARSY/0015/00251.smt2,veriT,2399.9803621
/data/SMT-LIB-non-incremental/UF/20190906-CLEARSY/0021/00002.smt2,Alt-Ergo,2399.980231
/data/SMT-LIB-non-incremental/UF/20190906-CLEARSY/0016/00769.smt2,UE+MathSAT,2399.9799691
/data/SMT-LIB-non-incremental/UF/20190906-CLEARSY/0015/00249.smt2,UE+MathSAT,2399.9774649
/data/SMT-LIB-non-incremental/UF/20190906-CLEARSY/0005/00081.smt2,Alt-Ergo,2399.9758149
/data/SMT-LIB-non-incremental/UF/sledgehammer/TwoSquares/uf.723569.smt2,SMTInterpol,2399.9733459
/data/SMT-LIB-non-incremental/UF/20190906-CLEARSY/0008/00060.smt2,Alt-Ergo,2399.9686469
/data/SMT-LIB-non-incremental/UF/sledgehammer/Hoare/uf.815609.smt2,UE+MathSAT,2399.96825
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/gandl/stern_brocot_tree/x2015_09_10_16_50_54_775_1033877.smt_in.smt2,UE+MathSAT,2399.967489
/data/SMT-LIB-non-incremental/UF/20190906-CLEARSY/0016/00415.smt2,UE+MathSAT,2399.966722
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_55_54_021_1425888.smt_in.smt2,Z3,2399.9660771
/data/SMT-LIB-non-incremental/UF/sledgehammer/FFT/uf.671439.smt2,SMTInterpol,2399.9628351
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_04_33_887_1999952.smt_in.smt2,SMTInterpol,2399.9627961
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/huffman/x2015_09_10_16_49_47_015_1207389.smt_in.smt2,UE+MathSAT,2399.961781
/data/SMT-LIB-non-incremental/UF/grasshopper/uninstantiated/traverse1_loop_invariant_20_3.smt2,UE+MathSAT,2399.961341
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_47_00_095_1034295.smt_in.smt2,UE+MathSAT,2399.9602791
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_11_27_709_2552723.smt_in.smt2,UE+MathSAT,2399.959863
/data/SMT-LIB-non-incremental/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.680068.smt2,Z3,2399.959599
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_51_42_375_1318540.smt_in.smt2,SMTInterpol,2399.9593939
/data/SMT-LIB-non-incremental/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.901792.smt2,Alt-Ergo,2399.9588849
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_stream/x2015_09_10_17_25_15_014_1239247.smt_in.smt2,SMTInterpol,2399.958764
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_51_46_450_1322834.smt_in.smt2,SMTInterpol,2399.958613
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_06_54_013_2192779.smt_in.smt2,UE+MathSAT,2399.9573909
/data/SMT-LIB-non-incremental/UF/sledgehammer/FFT/uf.860540.smt2,veriT+vite,2399.9572811
/data/SMT-LIB-non-incremental/UF/sledgehammer/Arrow_Order/uf.555531.smt2,SMTInterpol,2399.956933
/data/SMT-LIB-non-incremental/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.649048.smt2,SMTInterpol,2399.9555
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/koenigslemma/x2015_09_10_16_54_25_871_1168153.smt_in.smt2,UE+MathSAT,2399.9548419
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_12_01_194_2598848.smt_in.smt2,UE+MathSAT,2399.954255
/data/SMT-LIB-non-incremental/UF/sledgehammer/QEpres/uf.787822.smt2,SMTInterpol,2399.953935
/data/SMT-LIB-non-incremental/UF/sledgehammer/Hoare/smtlib.928655.smt2,Alt-Ergo,2399.9533521
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/splay_tree_analysis/x2015_09_10_16_56_26_954_1077626.smt_in.smt2,SMTInterpol,2399.9523901
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_16_59_45_321_1052943.smt_in.smt2,UE+MathSAT,2399.9522839
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_12_59_691_2664227.smt_in.smt2,SMTInterpol,2399.952268
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_48_36_754_1138020.smt_in.smt2,SMTInterpol,2399.9517649
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_09_42_195_2416479.smt_in.smt2,Z3,2399.9517019
/data/SMT-LIB-non-incremental/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.624244.smt2,veriT,2399.9514221
/data/SMT-LIB-non-incremental/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1466281.smt2,Z3,2399.9514211
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_02_04_177_1798189.smt_in.smt2,SMTInterpol,2399.951092
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_02_26_083_1826956.smt_in.smt2,SMTInterpol,2399.9509769
/data/SMT-LIB-non-incremental/UF/sledgehammer/FFT/uf.917735.smt2,UE+MathSAT,2399.9508231
/data/SMT-LIB-non-incremental/UF/grasshopper/uninstantiated/copy_postcondition_of_copy_25_2.smt2,SMTInterpol,2399.9503601
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_51_54_184_1331618.smt_in.smt2,Z3,2399.95022
/data/SMT-LIB-non-incremental/UF/sledgehammer/NS_Shared/uf.566965.smt2,Alt-Ergo,2399.950202
/data/SMT-LIB-non-incremental/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.903234.smt2,UE+MathSAT,2399.950151
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/distro/gram_lang/x2015_09_10_16_50_58_775_1278837.smt_in.smt2,UE+MathSAT,2399.9499199
/data/SMT-LIB-non-incremental/UF/sledgehammer/NS_Shared/smtlib.608094.smt2,CVC4 (2019),2399.9497309
/data/SMT-LIB-non-incremental/UF/sledgehammer/TwoSquares/uf.756631.smt2,SMTInterpol,2399.949294
/data/SMT-LIB-non-incremental/UF/20190906-CLEARSY/0023/00612.smt2,Alt-Ergo,2399.94917
/data/SMT-LIB-non-incremental/UF/grasshopper/uninstantiated/rec_copy_loop_precondition_of_rec_copy_loop_45_11.smt2,SMTInterpol,2399.948527
/data/SMT-LIB-non-incremental/UF/sledgehammer/FFT/uf.692425.smt2,UE+MathSAT,2399.948523
/data/SMT-LIB-non-incremental/UF/sledgehammer/Fundamental_Theorem_Algebra/smtlib.768383.smt2,Z3,2399.9480149
/data/SMT-LIB-non-incremental/UF/grasshopper/uninstantiated/rec_filter_postcondition_of_rec_filter_20_4.smt2,SMTInterpol,2399.947968
/data/SMT-LIB-non-incremental/UF/sledgehammer/StrongNorm/uf.852146.smt2,SMTInterpol,2399.9474059
/data/SMT-LIB-non-incremental/UF/sledgehammer/NS_Shared/uf.585691.smt2,Z3,2399.9468769
/data/SMT-LIB-non-incremental/UF/sledgehammer/Fundamental_Theorem_Algebra/uf.1306846.smt2,UE+MathSAT,2399.9467239
/data/SMT-LIB-non-incremental/UF/sledgehammer/QEpres/uf.1041819.smt2,UE+MathSAT,2399.9463681
/data/SMT-LIB-non-incremental/UF/sledgehammer/StrongNorm/uf.650702.smt2,UE+MathSAT,2399.9463431
/data/SMT-LIB-non-incremental/UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_stream/x2015_09_10_17_22_25_843_1089837.smt_in.smt2,SMTInterpol,2399.9455
/data/SMT-LIB-non-incremental/UF/20190906-CLEARSY/0016/00385.smt2,Alt-Ergo,2399.945222
/data/SMT-LIB-non-incremental/UF/20190906-CLEARSY/0015/00093.smt2,veriT,2399.9437979
/data/SMT-LIB-non-incremental/UF/sledgehammer/Hoare/uf.833850.smt2,UE+MathSAT,2399.943649
