benchmark,prediction,loss
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_530999_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.946731
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_656b3f_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.9404779
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_a4e646_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.918944
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/MA29-016__flow_refinement__fruit-pub_child.adb_23_30_range_check___00.smt2,CVC4,2399.9185891
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/M213-022__flow_loops__test.adb_76_21_overflow_check___00.smt2,CVC4,2399.9181551
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P510-019__user_lemma__user_lemma.adb_14_22_assert___00.smt2,CVC4,2399.9103539
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/M213-022__flow_loops__test.adb_63_17_overflow_check___00.smt2,CVC4,2399.9093961
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_ffffac_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.9010439
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/gcd__math_euclid.adb_7_14_postcondition3___00.smt2,CVC4,2399.894591
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_e2eb86_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.893681
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_a806f3_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.893071
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_ec5a3f_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.891745
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_82836b_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.880642
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/M823-017__fixed_points__binary_fixed.adb_65_25_assert2___00.smt2,CVC4,2399.87614
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_f37a2a_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.872454
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_e1e0e0_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.862635
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_6e47f1_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.853682
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_a6f118_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.850443
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_5cbc11_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.848848
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_6f5c1c_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.84493
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_74bd6a_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.837711
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R531-025__fixed_arithmetic_lemmas__spark-fixed_point_arithmetic_lemmas.ads_55_14_test_fixed_points.adb_6_4_postcondition___00.smt2,CVC4,2399.833608
/data/SMT-LIB-non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_8a87ca_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2,Vampire,2399.832993
