benchmark,prediction,loss
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.734483.smt2,CVC4,2399.975371
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.593629.smt2,CVC4,2399.9501289
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.734008.smt2,CVC4,2399.9493671
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.1244119.smt2,CVC4,2399.9491041
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.1240699.smt2,CVC4,2399.9481191
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.1110828.smt2,CVC4,2399.947199
/data/SMT-LIB-non-incremental/UFLIA/boogie/Quantifiers_Q-noinfer.smt2,CVC4,2399.9450149
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.737188.smt2,CVC4,2399.9442341
/data/SMT-LIB-non-incremental/UFLIA/grasshopper/uninstantiated/difference_postcondition_of_difference_36_8.smt2,CVC4,2399.939948
/data/SMT-LIB-non-incremental/UFLIA/psyco/191.smt2,CVC4,2399.935541
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.883192.smt2,CVC4,2399.934159
/data/SMT-LIB-non-incremental/UFLIA/boogie/StructTests_St.S_System.Int32.ptr_System.Int32.ptr-level_2.smt2,CVC4,2399.902391
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.744675.smt2,CVC4,2399.893646
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.reader.ASTClassFileParser.582.smt2,CVC4,2399.854241
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.745039.smt2,CVC4,2399.807698
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.722345.smt2,CVC4,2399.783094
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/FFT/smtlib.884351.smt2,CVC4,2399.745362
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.800258.smt2,CVC4,2399.707103
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.804621.smt2,CVC4,2399.699146
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.721296.smt2,CVC4,2399.698087
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.808979.smt2,CVC4,2399.68261
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.1014618.smt2,CVC4,2399.563731
/data/SMT-LIB-non-incremental/UFLIA/tptp/NUM859=1.smt2,CVC4,2399.437915
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/StrongNorm/smtlib.866575.smt2,CVC4,2399.297457
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1331232.smt2,CVC4,2399.238386
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/TwoSquares/smtlib.809710.smt2,CVC4,2399.108309
/data/SMT-LIB-non-incremental/UFLIA/boogie/QuantifierVisibilityInvariant_A..ctor.smt2,CVC4,2399.02526
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.860393.smt2,CVC4,2398.96494
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.996928.smt2,CVC4,2398.00207
/data/SMT-LIB-non-incremental/UFLIA/boogie/PeerModifiesClauses_Homeboy.E-level_2.smt2,CVC4,2397.42892
/data/SMT-LIB-non-incremental/UFLIA/simplify/javafe.ast.CompoundName.96.smt2,CVC4,2397.36163
/data/SMT-LIB-non-incremental/UFLIA/grasshopper/uninstantiated/strand_sort_loop_precondition_of_merge_117_14.smt2,CVC4,2397.33926
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.863961.smt2,CVC4,2397.0001
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/z3.867850.smt2,CVC4,2396.80034
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.826794.smt2,CVC4,2396.76431
/data/SMT-LIB-non-incremental/UFLIA/boogie/PeerFields_PeerFields.Ouch.smt2,CVC4,2395.83064
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.974171.smt2,CVC4,2395.26654
/data/SMT-LIB-non-incremental/UFLIA/grasshopper/instantiated/union_postcondition_of_union_36_8.smt2,CVC4,2395.19016
/data/SMT-LIB-non-incremental/UFLIA/grasshopper/instantiated/difference_postcondition_of_difference_38_8.smt2,CVC4,2394.29885
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.722740.smt2,CVC4,2392.41374
/data/SMT-LIB-non-incremental/UFLIA/boogie/PeerFields_PeerFields.S_System.Int32.smt2,CVC4,2392.13009
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/QEpres/smtlib.751837.smt2,CVC4,2391.76239
/data/SMT-LIB-non-incremental/UFLIA/simplify2/front_end_suite/javafe.CopyLoaded.005.smt2,CVC4,2390.96706
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.805276.smt2,CVC4,2389.7254
/data/SMT-LIB-non-incremental/UFLIA/sledgehammer/Hoare/smtlib.660166.smt2,CVC4,2389.3617
