benchmark,solver,score
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_48.smt2,Boolector-wrapped-sq,0.699874
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_48.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,8.86028
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_48.smt2,Poolector-wrapped-sq,0.985068
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_48.smt2,Q3B-wrapped-sq,0.698102
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_48.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_48.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0665089
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_62.smt2,Boolector-wrapped-sq,698.545
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_62.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_62.smt2,Poolector-wrapped-sq,18.72
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_62.smt2,Q3B-wrapped-sq,0.631024
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_62.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_62.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,8.08925
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_6.smt2,Boolector-wrapped-sq,4.07166
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_6.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_6.smt2,Poolector-wrapped-sq,10.4933
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_6.smt2,Q3B-wrapped-sq,1.52979
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_6.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_3_6.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_1.smt2,Boolector-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_1.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/BV/2017-Preiner-scholl-smt08/RNDPRE/RNDPRE_4_1.smt2,Poolector-wrapped-sq,4800
