benchmark,solver,score
benchmarks/smt-lib/non-incremental/NRA/keymaera/reactivity-lemma-node2938.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/reactivity-lemma-node2938.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/reactivity-lemma-node2938.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/reactivity-lemma-node2938.smt2,vampire-4.4-smtcomp-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/reactivity-lemma-node2938.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/ETCS-d-braking-node2220.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/ETCS-d-braking-node2220.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/ETCS-d-braking-node2220.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/ETCS-d-braking-node2220.smt2,vampire-4.4-smtcomp-wrapped-sq,0.100547
benchmarks/smt-lib/non-incremental/NRA/keymaera/ETCS-d-braking-node2220.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.039012
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node20279.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.020297
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node20279.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node20279.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node20279.smt2,vampire-4.4-smtcomp-wrapped-sq,0.260145
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node20279.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0441881
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsl.proof-node1722.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.0212319
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsl.proof-node1722.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsl.proof-node1722.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsl.proof-node1722.smt2,vampire-4.4-smtcomp-wrapped-sq,0.123524
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsl.proof-node1722.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0491451
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node40206.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.020742
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node40206.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node40206.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node40206.smt2,vampire-4.4-smtcomp-wrapped-sq,0.155033
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node40206.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.046872
benchmarks/smt-lib/non-incremental/NRA/keymaera/binary_driver-2007-10-09-node10280.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.0225081
benchmarks/smt-lib/non-incremental/NRA/keymaera/binary_driver-2007-10-09-node10280.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/binary_driver-2007-10-09-node10280.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/binary_driver-2007-10-09-node10280.smt2,vampire-4.4-smtcomp-wrapped-sq,0.13126
benchmarks/smt-lib/non-incremental/NRA/keymaera/binary_driver-2007-10-09-node10280.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0446759
benchmarks/smt-lib/non-incremental/NRA/keymaera/rbc-controllability-characterisation-node3299.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/rbc-controllability-characterisation-node3299.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/rbc-controllability-characterisation-node3299.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/rbc-controllability-characterisation-node3299.smt2,vampire-4.4-smtcomp-wrapped-sq,0.179468
benchmarks/smt-lib/non-incremental/NRA/keymaera/rbc-controllability-characterisation-node3299.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0377949
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node41402.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.0207249
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node41402.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node41402.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node41402.smt2,vampire-4.4-smtcomp-wrapped-sq,0.0834901
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node41402.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0473169
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node44023.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.0175421
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node44023.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node44023.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node44023.smt2,vampire-4.4-smtcomp-wrapped-sq,0.102279
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node44023.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.626789
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node5581.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.021698
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node5581.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node5581.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node5581.smt2,vampire-4.4-smtcomp-wrapped-sq,0.66222
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node5581.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0794549
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node37527.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.0173749
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node37527.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node37527.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node37527.smt2,vampire-4.4-smtcomp-wrapped-sq,0.101854
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node37527.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0675059
benchmarks/smt-lib/non-incremental/NRA/keymaera/to_right-node1083.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/to_right-node1083.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/to_right-node1083.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/to_right-node1083.smt2,vampire-4.4-smtcomp-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/to_right-node1083.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.04211
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node21498.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.0212269
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node21498.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node21498.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node21498.smt2,vampire-4.4-smtcomp-wrapped-sq,0.299411
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node21498.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.0440229
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsl.proof-node1748.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.715158
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsl.proof-node1748.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsl.proof-node1748.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsl.proof-node1748.smt2,vampire-4.4-smtcomp-wrapped-sq,0.107275
benchmarks/smt-lib/non-incremental/NRA/keymaera/vsl.proof-node1748.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.58534
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node31529.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.0223969
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node31529.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node31529.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node31529.smt2,vampire-4.4-smtcomp-wrapped-sq,0.23146
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node31529.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,0.190853
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node46858.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,0.700422
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node46858.smt2,UltimateEliminator+MathSAT-5.5.4-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node46858.smt2,UltimateEliminator+Yices-2.6.1-wrapped-sq,4800
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node46858.smt2,vampire-4.4-smtcomp-wrapped-sq,0.185971
benchmarks/smt-lib/non-incremental/NRA/keymaera/intersection-example-onelane.proof-node46858.smt2,z3-4.8.4-d6df51951f4c-wrapped-sq,2.69611
benchmarks/smt-lib/non-incremental/NRA/keymaera/ETCS-essentials-live2.proof-node640.smt2,CVC4-2019-06-03-d350fe1-wrapped-sq,4800
