benchmark,solver,score
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc30.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc30.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc30.smt2,Bitwuzla,755.411
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc30.smt2,Yices 2.6.2 for SMTCOMP2020,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc30.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc15.smt2,CVC4-sq-final,175.936
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc15.smt2,z3-4.8.8,667.523
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc15.smt2,Bitwuzla,13.2687
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc15.smt2,Yices 2.6.2 for SMTCOMP2020,23.5676
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc15.smt2,MathSAT5,99.3971
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc20.smt2,CVC4-sq-final,747.098
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc20.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc20.smt2,Bitwuzla,64.9252
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc20.smt2,Yices 2.6.2 for SMTCOMP2020,110.002
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc20.smt2,MathSAT5,505.189
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc20.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc20.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc20.smt2,Bitwuzla,86.7483
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc20.smt2,Yices 2.6.2 for SMTCOMP2020,133.629
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc20.smt2,MathSAT5,523.788
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc10.smt2,CVC4-sq-final,8.58611
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc10.smt2,z3-4.8.8,2.2631
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc10.smt2,Bitwuzla,1.36801
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc10.smt2,Yices 2.6.2 for SMTCOMP2020,1.94204
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc10.smt2,MathSAT5,8.42592
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc15.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc15.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc15.smt2,Bitwuzla,20.4868
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc15.smt2,Yices 2.6.2 for SMTCOMP2020,27.9163
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc15.smt2,MathSAT5,120.222
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc25.smt2,CVC4-sq-final,929.842
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc25.smt2,z3-4.8.8,695.58
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc25.smt2,Bitwuzla,204.743
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc25.smt2,Yices 2.6.2 for SMTCOMP2020,415.656
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc25.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc30.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc30.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc30.smt2,Bitwuzla,612.712
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc30.smt2,Yices 2.6.2 for SMTCOMP2020,1113.02
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_bmc30.smt2,MathSAT5,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc10.smt2,CVC4-sq-final,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc10.smt2,z3-4.8.8,4800
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc10.smt2,Bitwuzla,3.61293
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc10.smt2,Yices 2.6.2 for SMTCOMP2020,2.57069
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_shifter_mult_bmc10.smt2,MathSAT5,9.54551
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc20.smt2,CVC4-sq-final,308.99
benchmarks/smt-lib/non-incremental/QF_UFBV/calc2/calc2_sec2_adder_shifter_bmc20.smt2,z3-4.8.8,4800
